t_ms,hand_ax,hand_ay,hand_az,hand_gx,hand_gy,hand_gz,thumb_ax,thumb_ay,thumb_az,thumb_gx,thumb_gy,thumb_gz,index_ax,index_ay,index_az,index_gx,index_gy,index_gz,middle_ax,middle_ay,middle_az,middle_gx,middle_gy,middle_gz,ring_ax,ring_ay,ring_az,ring_gx,ring_gy,ring_gz,pinky_ax,pinky_ay,pinky_az,pinky_gx,pinky_gy,pinky_gz
84169,0.1172,-0.0931,-0.9817,-0.0153,-1.6632,-0.5798,-2.6279,2.0914,0.0402,246.0938,14.7247,-11.7493,-0.9814,-0.0012,-0.0139,-0.4883,-328.3997,-269.8059,0.0402,1.9688,0.1185,-11.6882,-122.5586,-0.1221,-0.0139,-0.0046,-2.6265,198.9594,5.0354,246.0938,0.1169,-0.0935,-0.9823,-0.1984,-1.6327,-0.6104
84650,0.1163,-0.0925,-0.9780,-0.1373,-1.8005,-0.5188,-2.6274,1.0919,0.0404,246.0938,14.8163,-11.6272,-0.9810,-0.0012,-0.0140,-0.5188,-328.2471,-394.7449,0.0404,1.9688,0.1165,-11.7950,-122.6959,-0.1221,-0.0132,-0.0054,-2.6272,74.0204,5.0659,246.0938,0.1171,-0.0940,-0.9823,-0.0916,-1.6479,-0.4883
85129,0.1172,-0.0950,-0.9812,-0.1984,-1.7090,-0.6256,-2.6555,0.0924,0.0406,246.0938,14.5874,-11.7188,-0.9814,-0.0004,-0.0139,-0.5493,-328.3997,480.3162,0.0406,1.9688,0.1173,-11.7035,-122.6654,-0.1221,-0.0133,-0.0038,-2.6274,-50.9186,5.0812,246.0938,0.1178,-0.0933,-0.9808,-0.2594,-1.8005,-0.6714
85610,0.1160,-0.0942,-0.9807,-0.0763,-1.7548,-0.5035,-2.6548,-0.9071,0.0408,246.0938,14.8315,-11.7645,-0.9811,-0.0009,-0.0133,-0.5951,-331.4819,355.3772,0.0409,1.9688,0.1177,-11.5509,-122.6807,-0.1221,-0.0143,-0.0045,-2.6262,-175.8575,5.1117,246.0938,0.1185,-0.0635,-0.9817,-0.1221,-1.7395,-0.4578
86090,0.1161,-0.0942,-0.9813,-0.0916,-1.6937,-0.6409,-2.6555,-1.9379,0.0410,246.0938,14.4653,-11.7950,-0.9816,-0.0013,-0.0133,-0.6409,-328.1860,230.4382,0.0411,1.9688,0.1158,-11.8408,-122.6349,-0.2136,-0.0137,-0.0039,-2.6563,-300.7965,5.1422,246.0938,0.1168,-0.0951,-0.9811,-0.0763,-1.7090,-0.5646
86570,0.1166,-0.0961,-0.9807,-0.0458,-1.7548,-0.5951,-2.6545,-2.9374,0.0413,246.0938,14.6637,-11.7188,-0.9808,-0.0013,-0.0137,-0.5035,-331.6345,101.5930,0.0414,1.9688,0.1171,-11.7645,-122.4976,-0.2289,-0.0137,-0.0042,-2.6274,-429.6417,5.1727,246.0938,0.1179,-0.0936,-0.9816,0.0000,-1.6785,-0.6256
87050,0.1171,-0.0933,-0.9810,-0.1984,-1.6937,-0.5798,-2.6272,-3.9681,0.0415,246.0938,14.6484,-11.8408,-0.9805,-0.0011,-0.0133,-0.5951,-328.2166,-23.3459,0.0415,1.9688,0.1169,-11.9019,-122.8333,-0.1221,-0.0135,-0.0054,-2.6550,445.4193,5.2032,246.0938,0.1169,-0.0938,-0.9821,-0.1221,-1.7853,-0.4883
87530,0.1173,-0.0933,-0.9817,-0.1373,-1.7090,-0.6104,-2.6252,3.0636,0.0417,246.0938,14.5874,-11.9629,-0.9816,-0.0017,-0.0134,-0.6104,-328.4912,-148.2849,0.0417,1.9688,0.1157,-11.7188,-122.4823,-0.1373,-0.0139,-0.0045,-2.6543,320.4803,5.2338,246.0938,0.1172,-0.0930,-0.9805,-0.2136,-1.7700,-0.5646
88010,0.1168,-0.0944,-0.9814,-0.1068,-1.7395,-0.5035,-2.6301,2.0641,0.0420,246.0938,14.5721,-11.7798,-0.9818,-0.0010,-0.0135,-0.4578,-331.8176,-273.2239,0.0420,1.9688,0.1177,-11.7645,-122.7417,-0.2899,-0.0134,-0.0046,-2.6558,195.5414,5.2643,246.0938,0.1167,-0.0933,-0.9817,-0.1373,-1.6327,-0.5798
88490,0.1166,-0.0941,-0.9813,-0.0916,-1.8616,-0.5646,-2.6274,1.0646,0.0422,246.0938,14.5416,-11.6730,-0.9811,-0.0009,-0.0142,-0.6409,-332.0007,-398.1628,0.0422,1.9688,0.1178,-11.4899,-122.4518,-0.2289,-0.0133,-0.0040,-2.6545,70.6024,5.2948,246.0938,0.1174,-0.0941,-0.9825,-0.1068,-1.6937,-0.4883
88970,0.1163,-0.0938,-0.9803,-0.0916,-1.8768,-0.6409,-2.6262,0.0651,0.0425,246.0938,14.6790,-11.7340,-0.9813,-0.0010,-0.0135,-0.4730,-328.2166,472.9919,0.0425,1.9688,0.1156,-11.6577,-122.5281,-0.1373,-0.0140,-0.0039,-2.6548,-54.3365,5.3101,246.0938,0.1171,-0.0948,-0.9818,-0.1221,-1.6632,-0.5951
89450,0.1165,-0.0922,-0.9810,-0.2136,-1.6937,-0.4883,-2.6270,-0.9344,0.0426,246.0938,14.5264,-7.8583,-0.9821,-0.0011,-0.0133,-0.5188,-332.0313,351.9592,0.0427,1.9688,0.1180,-12.0239,-122.6654,-0.1373,-0.0135,-0.0055,-2.6553,-179.2755,5.3406,246.0938,0.1171,-0.0935,-0.9803,-0.1984,-1.7090,-0.5188
89930,0.1177,-0.0931,-0.9795,-0.1526,-1.6174,-0.6256,-2.6311,-1.9340,0.0428,246.0938,14.5111,-11.8713,-0.9812,-0.0006,-0.0131,-0.5646,-331.7871,227.0203,0.0430,1.9688,0.1161,-11.7493,-122.5433,-0.0916,-0.0134,-0.0038,-2.6548,-304.2145,5.3711,246.0938,0.1168,-0.0938,-0.9810,-0.1373,-1.7700,-0.5646
90410,0.1169,-0.0935,-0.9813,-0.1678,-1.7700,-0.6256,-2.6279,-2.9335,0.0431,246.0938,14.8621,-11.7645,-0.9810,-0.0012,-0.0140,-0.5951,-328.3386,102.0813,0.0432,1.9688,0.1156,-11.5814,-122.6196,-0.1373,-0.0140,-0.0046,-2.6558,-429.1534,5.4016,246.0938,0.1171,-0.0957,-0.9808,-0.1526,-1.7395,-0.5188
90890,0.1172,-0.0944,-0.9819,0.0000,-1.6174,-0.5798,-2.6536,-3.9330,0.0433,246.0938,14.5569,-11.8561,-0.9821,-0.0012,-0.0144,-0.6714,-328.4302,-22.8577,0.0433,1.9688,0.1168,-11.7493,-122.6349,-0.1678,-0.0133,-0.0046,-2.6555,445.9076,5.4321,246.0938,0.1176,-0.0924,-0.9805,-0.1678,-1.6632,-0.5798
91370,0.1168,-0.0936,-0.9803,-0.1221,-1.7548,-0.4730,-2.6262,3.0675,0.0436,246.0938,14.6179,-11.7798,-0.9821,-0.0009,-0.0127,-0.6409,-331.8787,-147.7966,0.0436,1.9688,0.1172,-11.7645,-122.2076,-0.1221,-0.0129,-0.0029,-2.6538,320.9686,5.4626,246.0938,0.1166,-0.0961,-0.9811,-0.1068,-1.5411,-0.7172
91850,0.1163,-0.0940,-0.9832,-0.1678,-1.6785,-0.5188,-2.6541,2.0680,0.0438,246.0938,14.6332,-11.7188,-0.9800,-0.0009,-0.0134,-0.5646,-331.6040,-272.7356,0.0438,1.9688,0.1168,-11.7188,-122.5433,-0.2289,-0.0139,-0.0049,-2.6267,196.0297,5.4932,246.0938,0.1167,-0.0945,-0.9814,-0.1373,-1.7395,-0.5493
92330,0.1169,-0.0947,-0.9812,-0.1221,-1.6479,-0.5798,-2.6304,1.0685,0.0441,246.0938,14.6179,-11.6730,-0.9816,-0.0007,-0.0144,-0.6866,-331.8176,-397.6746,0.0441,1.9688,0.1173,-11.9171,-122.4823,-0.1221,-0.0134,-0.0045,-2.6528,71.0907,5.5237,246.0938,0.1169,-0.0935,-0.9829,-0.0916,-1.6937,-0.5951
92810,0.1152,-0.0941,-0.9802,-0.2136,-1.7395,-0.5951,-2.6528,0.0377,0.0443,246.0938,14.6790,-11.7950,-0.9807,-0.0009,-0.0137,-0.5493,-331.8481,477.3865,0.0443,1.9688,0.1179,-11.7493,-122.4518,-0.2441,-0.0139,-0.0042,-2.6543,-53.8483,5.5389,246.0938,0.1180,-0.0936,-0.9819,-0.1984,-1.7090,-0.6104
93290,0.1168,-0.0935,-0.9801,-0.1678,-1.6479,-0.5493,-2.6553,-0.9305,0.0444,246.0938,14.5416,-11.7645,-0.9801,-0.0011,-0.0133,-0.5493,-331.8787,352.4475,0.0446,1.9688,0.1178,-11.8866,-122.5586,-0.0763,-0.0135,-0.0049,-2.6563,-178.7872,5.5695,246.0938,0.1163,-0.0958,-0.9789,-0.1526,-1.6632,-0.5035
93770,0.1184,-0.0946,-0.9811,-0.1678,-1.7700,-0.6104,-2.6541,-1.9301,0.0447,246.0938,14.7552,-11.9019,-0.9792,-0.0007,-0.0143,-0.6256,-328.2471,227.5085,0.0448,1.9688,0.1176,-11.7493,-122.6044,-0.2289,-0.0132,-0.0039,-2.6555,-303.7262,5.6000,246.0938,0.1166,-0.0940,-0.9802,-0.1221,-1.8005,-0.5798
94250,0.1161,-0.0945,-0.9803,-0.1221,-1.7700,-0.5646,-2.6304,-2.9296,0.0449,246.0938,14.5416,-11.7798,-0.9816,-0.0013,-0.0134,-0.5035,-331.6956,102.5696,0.0450,1.9688,0.1151,-11.7188,-122.4976,-0.1984,-0.0131,-0.0054,-2.6548,-428.6652,5.6305,246.0938,0.1162,-0.0935,-0.9799,-0.2441,-1.6785,-0.5646
94730,0.1172,-0.0945,-0.9808,-0.0916,-1.6632,-0.5951,-2.6274,-3.9291,0.0452,246.0938,14.6637,-11.9171,-0.9817,-0.0009,-0.0143,-0.5646,-331.5430,-26.2756,0.0452,1.9688,0.1167,-11.7645,-122.5281,-0.2136,-0.0134,-0.0044,-2.6260,446.3959,5.6610,246.0938,0.1174,-0.0948,-0.9807,-0.1526,-1.6327,-0.5493
95210,0.1163,-0.0958,-0.9813,-0.1373,-1.8158,-0.6104,-2.6555,3.0714,0.0454,246.0938,14.6637,-11.6882,-0.9807,-0.0006,-0.0137,-0.5951,-328.7659,-147.3083,0.0454,1.9688,0.1162,-11.9476,-122.5739,-0.1068,-0.0140,-0.0044,-2.6267,321.4569,5.6915,246.0938,0.1166,-0.0941,-0.9799,-0.1373,-1.7395,-0.6104
95690,0.1161,-0.0941,-0.9796,-0.1068,-1.5869,-0.5951,-2.6538,2.0719,0.0457,246.0938,14.6332,-11.8408,-0.9812,-0.0018,-0.0131,-0.5035,-331.9397,-272.2473,0.0457,1.9688,0.1173,-11.8103,-122.8027,-0.1984,-0.0135,-0.0045,-2.6306,196.5179,5.7220,246.0938,0.1158,-0.0950,-0.9810,-0.1068,-1.6785,-0.5493
96170,0.1179,-0.0931,-0.9799,-0.1678,-1.7090,-0.5035,-2.6257,1.1036,0.0459,246.0938,14.4348,-11.7340,-0.9800,-0.0012,-0.0142,-0.6104,-328.1555,-397.1863,0.0459,1.9688,0.1176,-11.9476,-122.5281,0.0000,-0.0135,-0.0039,-2.6563,71.5790,5.7526,246.0938,0.1171,-0.0927,-0.9813,-0.0916,-1.7700,-0.6714
96650,0.1166,-0.0948,-0.9781,-0.1221,-1.7700,-0.6104,-2.6267,0.0729,0.0461,246.0938,14.7095,-11.6577,-0.9799,-0.0017,-0.0144,-0.4425,-328.3081,477.8748,0.0461,1.9688,0.1182,-11.8561,-122.8027,-0.1526,-0.0144,-0.0039,-2.6265,-57.2662,5.7678,246.0938,0.1171,-0.0944,-0.9802,-0.1068,-1.6937,-0.4730
97130,0.1162,-0.0939,-0.9822,-0.1526,-1.6479,-0.4578,-2.6555,-0.9266,0.0463,246.0938,14.8010,-11.8103,-0.9817,-0.0013,-0.0143,-0.5646,-328.3081,352.9358,0.0464,1.9688,0.1173,-11.8561,-122.6959,-0.1221,-0.0131,-0.0044,-2.6282,-178.2990,5.7983,246.0938,0.1176,-0.0944,-0.9799,-0.1678,-1.7395,-0.5646
97610,0.1173,-0.0935,-0.9796,-0.1984,-1.7395,-0.5798,-2.6523,-1.9261,0.0465,246.0938,14.7247,-11.8866,-0.9814,-0.0006,-0.0131,-0.5646,-328.1860,227.9968,0.0466,1.9688,0.1179,-11.8713,-122.3602,-0.1221,-0.0133,-0.0044,-2.6555,-303.2379,5.8289,246.0938,0.1173,-0.0945,-0.9817,-0.2289,-1.7700,-0.5493
98090,0.1165,-0.0950,-0.9816,-0.0458,-1.8158,-0.5035,-2.6553,-2.9257,0.0468,246.0938,14.6332,-11.8256,-0.9799,-0.0010,-0.0135,-0.5646,-328.2471,106.9641,0.0469,1.9688,0.1156,-11.8103,-122.5281,-0.1678,-0.0139,-0.0054,-2.6533,-428.1769,5.8594,246.0938,0.1179,-0.0927,-0.9814,-0.1984,-1.7395,-0.4883
