t_ms,hand_ax,hand_ay,hand_az,hand_gx,hand_gy,hand_gz,thumb_ax,thumb_ay,thumb_az,thumb_gx,thumb_gy,thumb_gz,index_ax,index_ay,index_az,index_gx,index_gy,index_gz,middle_ax,middle_ay,middle_az,middle_gx,middle_gy,middle_gz,ring_ax,ring_ay,ring_az,ring_gx,ring_gy,ring_gz,pinky_ax,pinky_ay,pinky_az,pinky_gx,pinky_gy,pinky_gz
136971,0.1178,-0.0931,-0.9805,-0.1221,-1.6785,-0.5035,-2.6550,-3.9174,0.0653,246.0938,14.6790,-11.7950,-0.9811,-0.0010,-0.0131,-0.6409,-328.4302,-20.9045,0.0653,1.9688,0.1163,-11.9171,-122.6654,-0.1068,-0.0142,-0.0055,-2.6257,451.7670,8.1787,246.0938,0.1176,-0.0945,-0.9792,-0.1221,-1.7090,-0.5035
137451,0.1176,-0.0939,-0.9816,-0.2136,-1.6174,-0.5035,-2.6536,3.1144,0.0656,246.0938,14.5874,-11.9934,-0.9808,-0.0013,-0.0139,-0.7019,-331.8176,-141.9373,0.0656,1.9688,0.1165,-11.7035,-122.6654,-0.1068,-0.0140,-0.0048,-2.6528,326.8280,8.2092,246.0938,0.1172,-0.0948,-0.9816,-0.1984,-1.6937,-0.5646
137931,0.1183,-0.0955,-0.9806,-0.1068,-1.6785,-0.6104,-2.6255,2.1149,0.0658,246.0938,14.6790,-11.8713,-0.9805,-0.0004,-0.0135,-0.6104,-328.5217,-270.7825,0.0658,1.9688,0.1173,-11.8713,-122.5281,-0.1984,-0.0135,-0.0050,-2.6299,201.8890,8.2397,246.0938,0.1177,-0.0935,-0.9799,-0.2136,-1.6937,-0.5798
138411,0.1165,-0.0952,-0.9813,-0.0916,-1.7548,-0.5798,-2.6545,1.1154,0.0660,246.0938,14.6027,-11.7340,-0.9797,-0.0012,-0.0135,-0.6256,-328.4302,-391.8152,0.0660,1.9688,0.1176,-11.6577,-122.5433,-0.1984,-0.0145,-0.0045,-2.6563,76.9501,8.2703,246.0938,0.1173,-0.0948,-0.9810,-0.0916,-1.8005,-0.5798
138891,0.1160,-0.0940,-0.9802,-0.1068,-1.6632,-0.5493,-2.6555,0.1158,0.0663,246.0938,14.6637,-11.7035,-0.9811,-0.0004,-0.0134,-0.6256,-328.6743,479.3396,0.0663,1.9688,0.1178,-11.7035,-122.6196,-0.1984,-0.0143,-0.0045,-2.6270,-51.8951,8.2855,246.0938,0.1172,-0.0951,-0.9816,-0.1678,-1.6327,-0.5646
139371,0.1176,-0.0928,-0.9808,-0.1221,-1.6174,-0.6714,-2.6550,-0.8837,0.0664,246.0938,14.7705,-11.7493,-0.9799,-0.0010,-0.0135,-0.5188,-331.4514,358.3069,0.0665,1.9688,0.1183,-11.9324,-122.6654,-0.1221,-0.0135,-0.0044,-2.6558,-172.9279,8.3160,246.0938,0.1166,-0.0946,-0.9805,-0.1984,-1.6785,-0.5646
139851,0.1168,-0.0942,-0.9799,-0.1221,-1.7395,-0.5951,-2.6255,-1.8832,0.0667,246.0938,14.6179,-11.6425,-0.9802,0.0002,-0.0139,-0.5798,-331.6345,233.3679,0.0668,1.9688,0.1172,-11.7188,-122.4365,-0.2289,-0.0132,-0.0049,-2.6277,-301.7731,8.3466,246.0938,0.1178,-0.0953,-0.9797,-0.1221,-1.7395,-0.5798
140331,0.1174,-0.0942,-0.9790,-0.2747,-1.7090,-0.4883,-2.6255,-2.8827,0.0669,246.0938,14.7095,-11.7798,-0.9811,-0.0011,-0.0137,-0.6256,-331.8481,108.4290,0.0670,1.9688,0.1174,-11.8561,-122.5586,-0.0458,-0.0135,-0.0040,-2.6260,-422.8058,8.3771,246.0938,0.1169,-0.0947,-0.9806,-0.1221,-1.7853,-0.5646
140811,0.1166,-0.0933,-0.9803,-0.1526,-1.7395,-0.5951,-2.6267,-3.8822,0.0671,246.0938,14.8468,-11.7950,-0.9808,-0.0010,-0.0134,-0.6256,-331.6040,-16.5100,0.0671,1.9688,0.1166,-11.7340,-122.5433,-0.1221,-0.0132,-0.0048,-2.6541,448.3490,8.4076,246.0938,0.1178,-0.0938,-0.9817,-0.2747,-1.8158,-0.5646
141291,0.1178,-0.0944,-0.9795,-0.1221,-1.7090,-0.5646,-2.6558,3.1183,0.0674,246.0938,14.7247,-11.9324,-0.9803,-0.0006,-0.0133,-0.6409,-328.4302,-141.4490,0.0674,1.9688,0.1161,-11.8713,-122.5128,-0.2136,-0.0135,-0.0054,-2.6555,327.3163,8.4381,246.0938,0.1165,-0.0953,-0.9803,-0.1068,-1.6479,-0.5646
141771,0.1163,-0.0946,-0.9805,-0.0763,-1.6327,-0.5646,-2.6277,2.1188,0.0676,246.0938,14.6332,-11.7340,-0.9802,-0.0009,-0.0132,-0.5798,-328.2166,-266.3879,0.0676,1.9688,0.1166,-11.7645,-122.5128,-0.2136,-0.0140,-0.0045,-2.6543,202.3773,8.4686,246.0938,0.1165,-0.0940,-0.9813,-0.1526,-1.7090,-0.5798
142250,0.1182,-0.0936,-0.9807,-0.1068,-1.6327,-0.7019,-2.6265,1.1193,0.0679,246.0938,14.6484,-11.7950,-0.9800,-0.0022,-0.0132,-0.6104,-328.1860,-391.3269,0.0679,1.9688,0.1172,-11.6882,-122.7875,-0.1526,-0.0132,-0.0044,-2.6284,77.4384,8.4991,246.0938,0.1169,-0.0941,-0.9805,-0.1526,-1.6937,-0.6714
142731,0.1176,-0.0945,-0.9806,-0.1984,-1.6632,-0.6104,-2.6516,0.1198,0.0681,246.0938,14.7095,-11.9171,-0.9805,-0.0013,-0.0135,-0.5035,-331.9702,483.7341,0.0681,1.9688,0.1171,-11.9629,-122.6807,0.0000,-0.0140,-0.0045,-2.6262,-47.5006,8.5144,246.0938,0.1176,-0.0946,-0.9800,-0.1068,-1.7700,-0.7172
143210,0.1167,-0.0941,-0.9795,-0.2136,-1.7395,-0.5188,-2.6553,-0.8798,0.0682,246.0938,14.5111,-11.8408,-0.9805,-0.0011,-0.0139,-0.5798,-328.3691,358.7952,0.0684,1.9688,0.1165,-11.8256,-122.4976,-0.1221,-0.0137,-0.0048,-2.6287,-172.4396,8.5449,246.0938,0.1166,-0.0933,-0.9800,-0.1068,-1.7700,-0.5646
143691,0.1180,-0.0956,-0.9792,-0.1221,-1.6937,-0.5188,-2.6257,-1.8793,0.0685,246.0938,14.5569,-7.8735,-0.9796,-0.0013,-0.0134,-0.6409,-328.2776,233.8562,0.0686,1.9688,0.1162,-11.6730,-122.4976,-0.2747,-0.0143,-0.0039,-2.6563,-297.3785,8.5754,246.0938,0.1177,-0.0944,-0.9807,-0.1984,-1.7853,-0.5646
144171,0.1174,-0.0938,-0.9795,-0.0458,-1.7395,-0.6256,-2.6265,-2.8788,0.0687,246.0938,14.4958,-11.8561,-0.9800,-0.0007,-0.0149,-0.6256,-331.7261,108.9172,0.0688,1.9688,0.1179,-11.7493,-122.5739,-0.1678,-0.0129,-0.0050,-2.6257,-422.3175,8.6060,246.0938,0.1169,-0.0936,-0.9805,-0.0916,-1.6632,-0.5951
144651,0.1183,-0.0933,-0.9816,-0.1526,-1.6937,-0.5493,-2.6272,-3.8783,0.0690,246.0938,14.5416,-11.8866,-0.9807,-0.0010,-0.0137,-0.5646,-331.8481,-16.0217,0.0690,1.9688,0.1172,-11.6119,-122.5433,-0.2289,-0.0145,-0.0050,-2.6277,452.7435,8.6365,246.0938,0.1162,-0.0953,-0.9792,-0.1678,-1.6785,-0.5493
145131,0.1168,-0.0956,-0.9799,-0.1221,-1.7700,-0.5188,-2.6558,3.0909,0.0692,246.0938,14.6332,-11.6425,-0.9808,-0.0009,-0.0140,-0.5951,-331.6345,-140.9607,0.0692,1.9688,0.1166,-11.8713,-122.6349,-0.1678,-0.0129,-0.0049,-2.6255,327.8046,8.6670,246.0938,0.1177,-0.0947,-0.9792,-0.1068,-1.6937,-0.5798
145611,0.1174,-0.0939,-0.9796,-4.4861,-1.7548,-0.6104,-2.6270,2.1227,0.0695,246.0938,14.6942,-11.4899,-0.9801,-0.0017,-0.0135,-0.4578,-331.6345,-265.8997,0.0695,1.9688,0.1160,-11.9476,-122.4976,-0.1526,-0.0139,-0.0044,-2.6501,202.8656,8.6975,246.0938,0.1166,-0.0944,-0.9811,-0.1678,-1.7548,-0.6256
146091,0.1173,-0.0948,-0.9802,-0.1526,-1.6937,-0.5646,-2.6538,1.1232,0.0697,246.0938,14.6942,-11.6272,-0.9802,-0.0012,-0.0139,-0.5951,-331.7566,-390.8386,0.0697,1.9688,0.1177,-11.7035,-122.3602,-0.0458,-0.0143,-0.0051,-2.6270,77.9266,8.7280,246.0938,0.1172,-0.0626,-0.9806,-0.0916,-1.7700,-0.5493
146571,0.1185,-0.0936,-0.9801,-0.2899,-1.6479,-0.5646,-2.6252,0.1237,0.0699,246.0938,14.5111,-11.9324,-0.9796,-0.0011,-0.0137,-0.5646,-328.4607,484.2224,0.0699,1.9688,0.1163,-11.6730,-122.4823,0.0000,-0.0151,-0.0038,-2.6560,-47.0123,8.7433,246.0938,0.1171,-0.0917,-0.9788,-0.1526,-1.7395,-0.4578
