# sensor 0 OK
# sensor 1 OK
# sensor 2 OK
# sensor 3 OK
# sensor 4 OK
# sensor 5 OK
# sensor 0 = onboard LSM6DS3, 1..5 = finger MPU-6050
# units: accel g, gyro deg/s
millis,sensor_id,ax,ay,az,gx,gy,gz
# calib_start hold_still_ms=10000
1000,0,-0.0051,-0.0215,0.9994,-0.84,-1.89,3.85
1000,1,1.0012,0.0061,0.1277,6.14,2.78,1.85
1000,2,0.9895,-0.0044,0.2163,5.47,2.52,0.08
1000,3,0.9946,0.0264,0.2019,-6.27,-7.40,-9.15
1000,4,0.9795,0.0073,0.2568,0.00,0.00,0.00
1000,5,1.2312,0.1790,0.1042,0.00,0.00,0.00
1010,0,-0.0045,-0.0198,0.9999,-0.86,-1.80,5.46
1010,1,1.0029,0.0120,0.1328,7.21,2.85,2.17
1010,2,0.9922,-0.0073,0.2173,6.49,2.56,0.44
1010,3,0.9941,0.0283,0.2007,5.33,4.17,1.05
1010,4,0.9807,0.0115,0.2520,9.21,2.46,-1.73
1010,5,1.2324,0.1890,0.0991,35.91,-30.63,-46.00
1020,0,-0.0082,-0.0235,1.0021,-0.88,-1.78,6.72
1020,1,1.0022,0.0137,0.1187,9.45,2.76,2.43
1020,2,0.9949,0.0010,0.2107,8.87,2.98,1.02
1020,3,0.9910,0.0352,0.1868,7.89,4.44,1.53
1020,4,0.9785,0.0178,0.2419,8.72,4.73,1.45
1020,5,1.2341,0.1831,0.0999,15.18,-6.26,1.71
1031,0,-0.0046,-0.0211,1.0030,-1.23,-1.87,9.17
1031,1,0.9951,-0.0017,0.1509,10.50,2.66,2.53
1031,2,0.9868,-0.0188,0.2251,9.45,2.56,1.15
1031,3,0.9875,0.0083,0.2278,8.38,4.21,1.65
1031,4,0.9666,-0.0037,0.2607,8.81,4.43,1.22
1031,5,1.2319,0.1685,0.1038,15.10,-6.40,1.89
1041,0,0.0026,-0.0211,1.0022,-1.07,-1.86,9.22
1041,1,0.9932,-0.0059,0.1536,10.49,3.04,2.64
1041,2,0.9956,-0.0183,0.2202,9.34,2.72,1.08
1041,3,0.9895,0.0103,0.2297,8.02,4.08,1.63
1041,4,0.9741,-0.0115,0.2612,8.53,4.44,1.16
1041,5,1.2329,0.1575,0.0999,14.75,-6.35,1.65
1051,0,0.0110,-0.0030,1.0059,-0.94,-1.84,7.82
1051,1,0.9949,-0.0183,0.1670,8.44,2.56,2.14
1051,2,0.9932,-0.0298,0.2190,7.18,2.26,0.31
1051,3,0.9851,-0.0120,0.2676,5.60,3.98,1.01
1051,4,0.9692,-0.0254,0.2837,5.66,4.24,0.24
1051,5,1.2273,0.1460,0.1050,11.34,-6.75,0.64
1062,0,0.0149,-0.0009,1.0037,-0.52,-1.75,5.13
