# sensor 0 OK
# sensor 1 OK
# sensor 2 OK
# sensor 3 OK
# sensor 4 OK
# sensor 5 OK
# sensor 0 = onboard LSM6DS3, 1..5 = finger MPU-6050
# units: accel g, gyro deg/s
millis,sensor_id,ax,ay,az,gx,gy,gz
# calib_start hold_still_ms=10000
1196,3,0.9802,0.0166,0.2366,-34.14,3.69,-8.38
1196,4,1.0010,0.0266,0.2437,-32.27,3.56,-11.22
1196,5,1.2463,0.2019,0.0962,-24.63,-6.00,-9.15
1207,0,0.0201,-0.0756,1.0294,0.86,-1.23,-30.99
1207,1,1.0061,-0.0300,0.1155,-26.38,-1.47,-3.34
1207,2,1.0134,-0.0403,0.1421,-27.02,-1.57,-7.19
1207,3,1.0015,-0.0166,0.2012,-28.52,0.49,-7.16
1207,4,0.9634,-0.0425,0.2297,-28.11,1.02,-9.44
1207,5,1.2041,0.1177,0.0400,-22.50,-8.49,-8.37
1216,0,0.0861,0.0349,0.9810,1.15,-1.78,-30.24
1216,1,0.9919,-0.0693,0.0852,-27.22,2.67,-2.99
1216,2,0.9963,-0.0850,0.1414,-26.69,3.21,-6.87
1216,3,0.9949,-0.0503,0.1218,-27.50,4.46,-6.70
1216,4,0.9995,-0.0713,0.1875,-25.88,5.19,-9.25
1216,5,1.2485,0.1064,0.0557,-19.27,-5.08,-7.56
1227,0,0.0998,-0.0160,1.0265,-1.15,-1.56,-25.85
1227,1,1.0298,-0.1050,0.0762,-20.99,0.78,-2.23
1227,2,1.0227,-0.1113,0.1426,-20.64,-0.05,-5.63
1227,3,1.0344,-0.0718,0.1162,-21.31,0.50,-5.21
1227,4,1.0127,-0.0920,0.1909,-19.74,0.26,-7.34
1227,5,1.2490,0.0852,0.0576,-12.63,-10.35,-6.26
1238,0,0.1176,-0.0287,1.0010,3.17,-1.58,-17.57
1238,1,1.0068,-0.0984,0.0295,-12.56,0.82,-1.02
1238,2,1.0002,-0.0950,0.1094,-12.37,1.45,-3.83
1238,3,0.9839,-0.0525,0.1099,-12.98,4.11,-3.40
1238,4,0.9585,-0.0608,0.1870,-11.97,4.98,-4.99
1238,5,1.2129,0.1125,0.0469,-5.79,-5.50,-3.85
1249,0,0.0854,0.0065,0.9904,-1.68,-1.73,-12.48
1249,1,1.0095,-0.0486,0.1296,-9.73,3.94,-0.49
1249,2,1.0085,-0.0549,0.1794,-9.83,3.51,-3.18
1249,3,1.0200,-0.0168,0.2014,-10.75,4.40,-2.79
1249,4,1.0042,-0.0276,0.2610,-9.53,4.29,-4.37
1249,5,1.2610,0.1531,0.1208,-3.04,-6.96,-3.28
1259,0,0.0407,-0.0593,1.0238,-0.28,-1.66,-8.70
1259,1,1.0063,-0.0198,0.1309,-5.60,0.52,0.03
1259,2,0.9985,-0.0181,0.1760,-5.83,0.46,-2.61
1259,3,0.9858,0.0129,0.1895,-6.81,2.14,-1.85
1259,4,0.9622,-0.0051,0.2463,-6.06,2.70,-3.25
1259,5,1.2166,0.1716,0.0938,0.11,-7.80,-2.26
1269,0,0.0218,-0.0315,0.9988,0.23,-1.72,-6.41
1269,1,0.9922,0.0024,0.1555,-4.58,2.27,0.20
1269,2,0.9941,-0.0039,0.1943,-5.15,2.20,-2.32
1269,3,0.9819,0.0227,0.2322,-6.29,3.44,-1.62
1269,4,0.9617,0.0110,0.2798,-5.79,4.15,-3.05
1269,5,1.2146,0.1924,0.1238,0.53,-6.47,-2.21
1280,0,-0.0028,-0.0578,0.9999,-0.67,-1.70,-5.76
1280,1,0.9941,0.0217,0.1858,-3.73,2.56,0.43
1280,2,0.9958,0.0054,0.2209,-4.44,2.40,-2.08
1280,3,0.9905,0.0337,0.2583,-5.37,3.83,-1.48
1280,4,0.9746,0.0161,0.3027,-4.60,3.80,-2.84
1280,5,1.2402,0.1824,0.1436,1.63,-7.16,-2.09
1291,0,0.0027,-0.0642,1.0093,0.28,-1.72,-5.20
1291,1,0.9912,0.0012,0.1799,-3.31,0.98,0.26
1291,2,0.9924,-0.0056,0.2126,-4.12,0.69,-2.24
1291,3,0.9802,0.0117,0.2532,-5.39,2.31,-1.53
1291,4,0.9629,-0.0020,0.2888,-4.49,2.75,-2.78
1291,5,1.2156,0.1694,0.1238,1.62,-7.60,-1.97
1301,0,0.0179,-0.0529,0.9978,0.81,-1.56,-4.99
1301,1,0.9905,0.0005,0.1748,-3.19,2.47,0.27
1301,2,0.9797,-0.0085,0.2139,-3.79,2.61,-2.08
1301,3,0.9683,0.0154,0.2617,-5.24,4.61,-1.37
1301,4,0.9417,-0.0088,0.3000,-4.38,5.11,-2.50
1301,5,1.2009,0.1606,0.1309,1.88,-4.58,-1.60
1311,0,0.0239,-0.0666,0.9912,-2.48,-1.72,-4.69
1311,1,0.9722,-0.0115,0.2192,-3.31,5.08,0.66
1311,2,0.9719,-0.0176,0.2505,-4.12,5.10,-2.05
1311,3,0.9436,0.0027,0.3228,-5.85,6.82,-1.27
1311,4,0.9199,-0.0146,0.3606,-5.73,7.62,-2.58
1311,5,1.1689,0.1572,0.1641,0.09,-2.29,-1.56
1322,0,0.0267,-0.0906,0.9723,-5.01,-2.56,-6.86
1322,1,1.0137,-0.0327,0.2844,-6.38,3.37,0.61
1322,2,1.0388,-0.0515,0.2913,-7.50,1.44,-2.37
1322,3,1.0015,-0.0547,0.3787,-9.56,1.98,-2.43
1322,4,0.9878,-0.0706,0.3713,-9.74,1.79,-4.46
1322,5,1.2292,0.0989,0.1462,-4.64,-9.13,-3.77
1333,0,0.0715,-0.0275,1.0026,1.26,-1.59,-12.07
1333,1,0.9722,-0.0481,0.2151,-13.10,2.20,-0.96
1333,2,0.9817,-0.0513,0.2000,-14.21,1.98,-4.18
1333,3,0.9722,-0.0398,0.3071,-16.11,3.48,-3.62
1333,4,0.9534,-0.0452,0.3135,-16.09,3.73,-5.82
1333,5,1.2188,0.1333,0.1177,-10.24,-6.85,-4.78
1343,0,0.0428,-0.0132,0.9952,-0.42,-2.01,-18.08
1343,1,0.9993,0.0024,0.1704,-16.47,2.03,-1.28
1343,2,1.0056,-0.0015,0.1958,-16.90,2.06,-4.43
1343,3,0.9971,0.0276,0.2358,-18.12,2.73,-4.18
1343,4,0.9795,0.0159,0.2722,-17.31,3.36,-6.50
1343,5,1.2427,0.1926,0.1062,-11.19,-6.78,-5.59
1354,0,-0.0009,-0.0170,1.0167,0.07,-1.77,-18.51
1354,1,1.0029,0.0254,0.1365,-17.07,1.71,-1.66
1354,2,1.0112,0.0149,0.1555,-17.85,1.28,-5.22
1354,3,0.9888,0.0342,0.2471,-19.68,2.56,-4.92
1354,4,0.9814,0.0193,0.2712,-19.42,3.05,-7.39
1354,5,1.2534,0.1899,0.0793,-14.06,-7.34,-6.60
1364,0,-0.0151,0.0345,1.0188,1.14,-1.19,-22.24
1364,1,0.9946,0.0483,0.1682,-21.48,0.26,-2.78
1364,2,0.9897,0.0425,0.1636,-22.05,0.49,-6.50
1364,3,0.9766,0.0581,0.2361,-23.74,1.77,-6.08
1364,4,0.9590,0.0405,0.2471,-22.92,2.47,-8.52
1364,5,1.2239,0.2158,0.0674,-17.18,-7.25,-7.31
1375,0,-0.0283,0.0106,0.9934,0.16,-1.42,-24.45
1375,1,1.0037,0.0471,0.0955,-21.68,1.10,-2.27
1375,2,1.0000,0.0361,0.1345,-21.60,1.16,-5.94
1375,3,0.9897,0.0693,0.1238,-22.20,2.37,-5.19
1375,4,0.9868,0.0535,0.1804,-20.66,2.79,-7.44
1375,5,1.2161,0.2241,0.0322,-13.86,-6.96,-5.92
1385,0,-0.0192,0.0055,0.9925,-1.14,-1.58,-20.63
1385,1,1.0288,0.0493,0.1267,-18.53,1.33,-1.95
1385,2,1.0464,0.0361,0.1694,-18.47,0.17,-5.62
1385,3,1.0405,0.0647,0.1416,-18.69,1.69,-5.48
1385,4,1.0269,0.0491,0.2263,-16.34,0.87,-7.28
1385,5,1.2498,0.2129,0.1089,-9.48,-10.53,-5.91
1396,0,-0.0104,-0.0730,0.9870,3.24,-0.89,-13.58
1396,1,0.9724,-0.0034,0.0122,-7.80,1.45,-0.12
1396,2,0.9294,-0.0210,0.1316,-5.89,1.56,-1.95
1396,3,1.0081,0.0508,-0.0610,-5.30,4.15,-0.02
1396,4,0.9380,0.0139,0.0498,-2.78,7.24,-0.63
1396,5,1.1960,0.1721,-0.0312,4.02,-0.44,0.11
1407,0,0.0205,0.0357,0.9520,-5.79,-3.12,-3.36
1407,1,1.0466,-0.0315,0.0969,-0.76,0.00,1.25
1407,2,1.0591,-0.0444,0.1465,-1.19,0.21,-1.07
1407,3,0.9978,-0.0168,0.1467,-2.31,2.20,-0.38
1407,4,0.9724,-0.0222,0.2041,-1.53,3.54,-1.31
1407,5,1.2090,0.1633,0.0388,4.75,-6.14,-0.24
1416,0,0.0398,0.0122,1.0049,-0.86,-2.47,-1.61
1416,1,0.9910,-0.0364,0.0984,1.45,1.30,1.33
1416,2,1.0017,-0.0635,0.1836,1.40,1.21,-0.41
1416,3,0.9922,-0.0237,0.1621,0.90,3.71,0.35
1416,4,0.9666,-0.0361,0.2524,2.38,3.11,-0.53
1416,5,1.2144,0.1475,0.1353,9.02,-8.32,0.76
1427,0,0.0643,-0.0767,0.9923,-0.26,-2.13,4.06
1427,1,1.0073,-0.0659,0.1545,7.89,0.98,2.99
1427,2,1.0000,-0.0728,0.2100,7.77,1.47,1.16
1427,3,0.9897,-0.0210,0.1990,7.30,3.33,2.21
1427,4,0.9563,-0.0190,0.2998,8.63,2.73,2.18
1427,5,1.1794,0.1733,0.1833,15.50,-8.15,2.98
1438,0,0.0410,-0.1573,0.9692,1.17,-2.84,11.50
1438,1,0.9888,-0.0637,0.2310,14.12,0.79,4.18
1438,2,0.9863,-0.0696,0.3020,14.08,-0.27,3.08
1438,3,0.9878,-0.0222,0.2905,13.25,1.77,4.08
1438,4,0.9600,-0.0383,0.3535,14.02,1.73,3.92
1438,5,1.2100,0.1465,0.1956,20.79,-9.82,4.50
1449,0,0.0550,-0.1559,1.0172,2.40,-2.68,16.22
1449,1,1.0029,-0.0090,0.2129,19.05,0.92,4.37
1449,2,-0.0001,-0.0001,-0.0001,-0.02,-0.02,-0.02
1449,3,0.9858,0.0178,0.2524,17.50,2.47,4.55
1449,4,0.9583,0.0059,0.3064,18.06,2.37,4.67
1449,5,1.2222,0.1802,0.1372,24.52,-8.81,4.95
1458,0,0.0122,-0.0666,1.0136,1.68,-2.20,19.20
1458,1,1.0000,0.0193,0.1711,20.43,1.10,4.21
1458,2,-0.0001,-0.0001,-0.0001,-0.02,-0.02,-0.02
1458,3,0.9861,0.0317,0.2363,18.20,2.55,4.53
1458,4,0.9653,0.0173,0.2759,18.55,2.73,4.72
1458,5,1.2273,0.1914,0.0852,24.47,-8.34,4.69
1468,0,-0.0035,-0.0057,0.9988,1.35,-2.26,18.90
1468,1,0.9976,0.0176,0.1335,19.40,1.04,4.34
1468,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1468,3,0.9895,0.0325,0.2141,16.99,2.72,4.56
1468,4,0.9885,0.0046,0.2412,17.10,2.55,4.41
1468,5,1.2524,0.1775,0.0591,22.95,-8.47,4.34
1479,0,0.0034,0.0375,1.0128,1.70,-2.33,17.18
1479,1,1.0020,0.0200,0.1035,17.11,1.18,3.98
1479,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1479,3,0.9917,0.0215,0.2002,14.24,2.52,3.59
1479,4,0.9885,-0.0010,0.2153,13.89,2.63,3.45
1479,5,1.2559,0.1758,0.0212,19.60,-8.58,3.39
1489,0,0.0032,0.0972,1.0016,1.56,-2.35,12.86
1489,1,1.0112,-0.0059,0.0845,12.89,1.42,3.47
1489,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1489,3,0.9976,-0.0122,0.1953,9.89,2.24,2.64
1489,4,0.9890,-0.0271,0.2036,9.66,2.34,2.24
1489,5,1.2478,0.1462,0.0007,15.10,-8.76,2.38
1500,0,0.0293,0.0972,0.9934,1.84,-2.52,8.93
1500,1,1.0110,-0.0039,0.1062,8.60,1.04,3.08
1500,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1500,3,0.9971,0.0007,0.2004,5.85,1.86,2.17
1500,4,0.9795,-0.0186,0.2263,5.94,1.62,1.66
1500,5,1.2378,0.1541,0.0537,11.57,-9.34,1.60
1509,0,0.0260,0.0540,1.0055,2.66,-2.66,5.84
1509,1,1.0037,0.0017,0.1221,5.71,0.69,2.87
1509,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1509,3,0.9993,0.0117,0.2168,3.56,1.47,1.83
1509,4,0.9834,-0.0073,0.2480,3.83,1.30,0.75
1509,5,1.2539,0.1631,0.0886,9.92,-9.91,0.85
1520,0,0.0140,0.0094,1.0196,2.64,-2.28,3.62
1520,1,1.0186,0.0042,0.1243,4.61,2.75,2.24
1520,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1520,3,0.9807,0.0198,0.2166,2.78,4.18,0.84
1520,4,0.9780,-0.0027,0.2810,3.15,4.40,-0.24
1520,5,1.2468,0.1675,0.1187,9.39,-7.33,0.34
1530,0,0.0089,-0.0162,1.0160,-0.63,-1.78,3.26
1530,1,1.0007,0.0105,0.1516,4.96,2.34,1.91
1530,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1530,3,0.9966,0.0330,0.2180,3.11,3.68,0.99
1530,4,0.9714,0.0188,0.2664,3.76,3.91,0.27
1530,5,1.2280,0.1960,0.1079,10.23,-7.24,0.85
1541,0,-0.0010,-0.0390,0.9994,0.37,-2.31,4.13
1541,1,1.0010,0.0190,0.1484,6.34,2.66,2.50
1541,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1541,3,0.9883,0.0347,0.2200,4.56,3.82,1.57
1541,4,0.9648,0.0247,0.2688,5.27,3.71,1.13
1541,5,1.2275,0.1953,0.1135,11.50,-6.92,1.57
1550,0,-0.0061,-0.0428,1.0066,0.05,-2.47,6.02
1550,1,1.0078,0.0249,0.1653,7.89,3.98,3.08
1550,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1550,3,1.0032,0.0461,0.2261,6.20,4.27,2.14
1550,4,0.9797,0.0344,0.2798,6.85,4.50,1.83
1550,5,1.2227,0.2041,0.1216,13.30,-6.26,2.38
1560,0,-0.0143,-0.0527,1.0069,-0.25,-2.84,7.51
1560,1,1.0095,0.0229,0.1733,9.04,4.95,3.71
1560,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1560,3,0.9985,0.0352,0.2463,7.07,5.45,2.98
1560,4,0.9766,0.0178,0.2957,7.85,5.50,2.50
1560,5,1.2358,0.1821,0.1355,14.00,-6.38,2.98
1571,0,0.0039,-0.0559,1.0025,-0.58,-3.20,8.31
1571,1,1.0547,0.0049,0.1604,8.96,8.26,4.81
1571,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1571,3,1.0076,0.0142,0.2493,6.61,11.98,3.37
1571,4,0.9958,0.0017,0.3013,7.11,12.70,3.13
1571,5,1.2405,0.1748,0.1257,13.53,2.06,4.34
1581,0,0.0096,-0.0525,1.0308,-12.70,-5.11,8.12
1581,1,1.0356,0.0100,0.1968,9.33,12.38,6.92
1581,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1581,3,1.0422,0.0442,0.2512,7.19,13.83,6.23
1581,4,1.0024,0.0315,0.3027,7.62,13.79,6.24
1581,5,1.2458,0.1987,0.1548,14.23,1.48,7.50
1591,0,-0.0059,-0.0720,1.0059,-8.65,-7.65,9.66
1591,1,1.0186,0.0237,0.1826,10.66,9.97,9.95
1591,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1591,3,1.0334,0.0474,0.2478,8.20,10.58,9.54
1591,4,0.9905,0.0342,0.2966,8.53,10.46,9.44
1591,5,1.2307,0.1956,0.1318,15.24,-1.07,10.35
1601,0,-0.0045,-0.0621,0.9954,-5.93,-9.94,11.52
1601,1,0.9885,0.0117,0.1904,11.57,5.63,11.44
1601,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1601,3,0.9727,0.0083,0.2380,8.50,7.59,10.56
1601,4,0.9585,-0.0059,0.2849,8.20,7.77,10.37
1601,5,1.2288,0.1672,0.1433,14.79,-4.96,11.07
1612,0,0.0188,-0.0364,0.9960,-1.72,-10.66,10.80
1612,1,1.0112,-0.0054,0.1792,10.35,3.36,12.44
1612,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1612,3,1.0134,-0.0051,0.2595,7.10,5.27,11.86
1612,4,0.9934,-0.0161,0.2820,6.92,5.77,11.69
1612,5,1.2485,0.1543,0.1160,13.28,-6.26,12.18
1622,0,0.0310,-0.0207,1.0015,-0.84,-12.18,9.75
1622,1,1.0623,-0.0010,0.1570,9.51,2.87,15.53
1622,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1622,3,1.0947,0.0256,0.2307,6.31,5.13,15.77
1622,4,1.0535,0.0200,0.2683,5.74,5.57,15.94
1622,5,1.2854,0.2000,0.1035,12.49,-5.82,17.19
1632,0,-0.0052,-0.0165,1.0202,-1.33,-18.04,10.95
1632,1,1.1243,0.0444,0.1482,10.29,3.56,22.55
1632,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1632,3,1.1770,0.0769,0.2217,6.56,6.26,23.77
1632,4,1.1079,0.0579,0.2673,5.56,7.16,24.29
1632,5,1.3186,0.2324,0.1006,12.85,-4.85,26.05
1642,0,-0.0306,-0.0190,1.0292,-2.77,-26.20,13.07
1642,1,1.1755,0.0618,0.1165,12.70,6.14,33.37
1642,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1642,3,1.2104,0.0989,0.1587,9.25,9.82,35.08
1642,4,1.1213,0.0896,0.2397,7.76,10.93,35.80
1642,5,1.3037,0.2593,0.1121,16.00,-1.05,38.20
1653,0,-0.0404,-0.0510,1.0281,-6.82,-37.61,20.44
1653,1,1.1587,0.0427,0.1060,17.57,11.37,43.86
1653,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1653,3,1.2070,0.0625,0.2056,12.12,15.98,46.05
1653,4,1.1396,0.0430,0.2715,9.63,16.47,46.76
1653,5,1.3250,0.2000,0.0913,17.62,4.23,48.95
1664,0,-0.0052,0.0013,1.0448,-12.98,-46.57,22.96
1664,1,1.1716,-0.0068,0.1553,16.87,15.57,55.31
1664,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1664,3,1.2244,0.0061,0.2678,10.00,18.34,57.15
1664,4,1.1372,-0.0259,0.3074,6.34,19.37,57.85
1664,5,1.3179,0.1316,0.0981,14.32,6.82,60.29
1673,0,0.0676,0.0073,1.0286,-14.91,-59.26,21.93
1673,1,1.1335,-0.0459,0.1953,13.80,14.81,66.56
1673,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1673,3,1.1758,-0.0183,0.3118,5.68,17.16,67.85
1673,4,1.0903,-0.0496,0.3394,1.18,18.18,67.73
1673,5,1.3071,0.1157,0.1401,9.51,4.38,69.94
1684,0,0.0736,-0.0215,1.0104,-12.69,-68.16,19.55
1684,1,1.0754,-0.0371,0.2371,9.65,11.51,74.96
1684,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1684,3,1.0964,-0.0251,0.3599,0.58,14.23,75.34
1684,4,1.0325,-0.0420,0.3711,-4.47,14.85,74.52
1684,5,1.2524,0.1157,0.1606,4.00,1.05,76.26
1694,0,0.0710,-0.0582,1.0081,-9.69,-74.38,15.05
1694,1,1.0239,-0.0508,0.2529,5.21,8.53,80.02
1694,2,0.0000,0.0000,0.0000,0.00,0.00,0.00
1694,3,1.0330,-0.0305,0.3547,-4.06,11.39,79.65
