# sensor 0 OK
# sensor 1 OK
# sensor 2 OK
# sensor 3 OK
# sensor 4 OK
# sensor 5 OK
# sensor 0 = onboard LSM6DS3, 1..5 = finger MPU-6050
# SUBTRACT_GYRO_BIAS=1
# units: quat unitless, roll/pitch/yaw deg
millis,sensor_id,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg
# calib_start hold_still_ms=10000
# ---- gyro bias table (deg/s) from still window ----
# sensor_id,n,bias_x,bias_y,bias_z,std_x,std_y,std_z
# 0,1001,-0.198,-1.596,-0.458,0.213,0.049,0.055
# 1,1001,1.071,2.047,1.060,0.081,0.109,0.084
# 2,1001,0.360,2.009,-1.217,0.090,0.125,0.085
# 3,1001,-0.938,3.508,-0.463,0.089,0.147,0.084
# 4,1001,-0.317,3.755,-1.464,0.091,0.203,0.101
# 5,1001,5.788,-6.984,-0.814,0.286,0.344,0.119
# --------------------------------------------------
# ---- seeding orientation from calibration-window accel ----
# sensor 0 seed_accel=0.010,-0.013,1.006
# sensor 1 seed_accel=0.999,-0.001,0.148
# sensor 2 seed_accel=0.993,-0.015,0.220
# sensor 3 seed_accel=0.991,0.014,0.220
# sensor 4 seed_accel=0.975,-0.002,0.260
# sensor 5 seed_accel=1.230,0.171,0.097
# calib_end — fusion running now
13373,0,0.99996,-0.00715,-0.00556,0.00002,-0.82,-0.64,0.01
13373,1,0.75746,-0.00366,-0.65287,-0.00311,-0.57,-81.52,0.02
13373,2,0.77949,-0.02684,-0.62545,-0.02198,-3.80,-77.49,-0.18
13373,3,0.77973,0.02545,-0.62528,0.02007,3.85,-77.45,-0.14
13373,4,0.79349,-0.00284,-0.60858,-0.00218,-0.41,-74.97,-0.00
13373,5,0.65695,0.38351,-0.56067,0.32709,60.64,-80.95,-0.11
13384,0,0.99996,-0.00677,-0.00554,0.00002,-0.78,-0.64,0.01
13384,1,0.75730,-0.00357,-0.65305,-0.00320,-0.48,-81.54,-0.07
13384,2,0.77931,-0.02682,-0.62568,-0.02200,-3.79,-77.52,-0.19
13384,3,0.77988,0.02542,-0.62510,0.02009,3.83,-77.43,-0.12
13384,4,0.79339,-0.00259,-0.60870,-0.00236,-0.27,-74.99,-0.13
13384,5,0.65713,0.38346,-0.56049,0.32710,60.52,-80.93,0.01
13395,0,0.99996,-0.00649,-0.00579,0.00001,-0.74,-0.66,0.00
13395,1,0.75713,-0.00369,-0.65325,-0.00308,-0.61,-81.58,0.06
13395,2,0.77938,-0.02711,-0.62559,-0.02178,-3.98,-77.51,-0.01
13395,3,0.77975,0.02517,-0.62525,0.02030,3.66,-77.45,0.05
13395,4,0.79323,-0.00267,-0.60891,-0.00230,-0.32,-75.02,-0.09
13395,5,0.65696,0.38352,-0.56067,0.32707,60.65,-80.95,-0.11
13407,0,0.99997,-0.00622,-0.00554,0.00001,-0.71,-0.64,0.00
13407,1,0.75697,-0.00384,-0.65344,-0.00293,-0.78,-81.60,0.23
13407,2,0.77955,-0.02711,-0.62538,-0.02177,-3.98,-77.48,-0.01
13407,3,0.77977,0.02547,-0.62523,0.02006,3.86,-77.45,-0.15
13407,4,0.79339,-0.00256,-0.60870,-0.00239,-0.25,-74.99,-0.15
13407,5,0.65681,0.38364,-0.56082,0.32697,60.83,-80.96,-0.29
13418,0,0.99997,-0.00631,-0.00516,0.00001,-0.72,-0.59,0.00
13418,1,0.75684,-0.00364,-0.65358,-0.00312,-0.57,-81.63,0.02
13418,2,0.77964,-0.02735,-0.62526,-0.02159,-4.13,-77.46,0.14
13418,3,0.77961,0.02559,-0.62542,0.01994,3.95,-77.47,-0.24
13418,4,0.79349,-0.00235,-0.60857,-0.00255,-0.14,-74.97,-0.26
13418,5,0.65695,0.38349,-0.56069,0.32708,60.64,-80.95,-0.11
13430,0,0.99997,-0.00665,-0.00501,0.00001,-0.76,-0.57,0.00
13430,1,0.75681,-0.00393,-0.65362,-0.00286,-0.87,-81.63,0.32
13430,2,0.77968,-0.02706,-0.62521,-0.02183,-3.93,-77.45,-0.05
13430,3,0.77951,0.02583,-0.62554,0.01976,4.12,-77.49,-0.40
13430,4,0.79333,-0.00244,-0.60878,-0.00246,-0.19,-75.00,-0.21
13430,5,0.65712,0.38365,-0.56048,0.32690,60.69,-80.91,-0.15
13442,0,0.99996,-0.00674,-0.00537,0.00001,-0.77,-0.61,0.01
13442,1,0.75689,-0.00417,-0.65352,-0.00265,-1.12,-81.62,0.56
13442,2,0.77950,-0.02703,-0.62543,-0.02186,-3.91,-77.48,-0.07
13442,3,0.77935,0.02591,-0.62575,0.01969,4.18,-77.52,-0.46
13442,4,0.79325,-0.00219,-0.60888,-0.00265,-0.06,-75.02,-0.34
13442,5,0.65699,0.38379,-0.56062,0.32678,60.87,-80.92,-0.34
13454,0,0.99997,-0.00646,-0.00512,0.00001,-0.74,-0.59,0.01
13454,1,0.75705,-0.00414,-0.65334,-0.00268,-1.09,-81.59,0.53
13454,2,0.77966,-0.02714,-0.62523,-0.02176,-3.99,-77.45,0.00
13454,3,0.77948,0.02578,-0.62559,0.01980,4.08,-77.50,-0.37
13454,4,0.79326,-0.00251,-0.60888,-0.00240,-0.23,-75.02,-0.17
13454,5,0.65708,0.38360,-0.56053,0.32695,60.67,-80.92,-0.14
13464,0,0.99997,-0.00621,-0.00541,0.00001,-0.71,-0.62,0.00
13464,1,0.75723,-0.00419,-0.65313,-0.00263,-1.14,-81.56,0.59
13464,2,0.77982,-0.02705,-0.62503,-0.02184,-3.92,-77.43,-0.07
13464,3,0.77936,0.02555,-0.62574,0.02000,3.93,-77.52,-0.21
13464,4,0.79334,-0.00278,-0.60877,-0.00219,-0.39,-75.00,-0.02
13464,5,0.65693,0.38376,-0.56067,0.32683,60.87,-80.93,-0.34
13476,0,0.99997,-0.00620,-0.00503,0.00001,-0.71,-0.58,0.00
13476,1,0.75727,-0.00391,-0.65308,-0.00288,-0.84,-81.55,0.29
13476,2,0.77977,-0.02734,-0.62510,-0.02161,-4.11,-77.43,0.12
13476,3,0.77951,0.02567,-0.62554,0.01990,4.00,-77.49,-0.29
13476,4,0.79331,-0.00306,-0.60881,-0.00195,-0.55,-75.01,0.14
13476,5,0.65674,0.38379,-0.56088,0.32683,60.99,-80.96,-0.45
13488,0,0.99997,-0.00637,-0.00538,0.00001,-0.73,-0.62,0.01
13488,1,0.75743,-0.00386,-0.65289,-0.00292,-0.79,-81.52,0.24
13488,2,0.77963,-0.02749,-0.62527,-0.02148,-4.23,-77.46,0.24
13488,3,0.77937,0.02550,-0.62572,0.02002,3.90,-77.52,-0.18
13488,4,0.79336,-0.00279,-0.60874,-0.00217,-0.39,-75.00,-0.01
13488,5,0.65655,0.38387,-0.56108,0.32676,61.16,-80.98,-0.62
13500,0,0.99996,-0.00622,-0.00573,0.00000,-0.71,-0.66,0.00
13500,1,0.75760,-0.00397,-0.65271,-0.00281,-0.91,-81.49,0.36
13500,2,0.77963,-0.02722,-0.62527,-0.02171,-4.04,-77.46,0.05
13500,3,0.77953,0.02538,-0.62552,0.02012,3.81,-77.49,-0.10
13500,4,0.79323,-0.00265,-0.60891,-0.00227,-0.32,-75.02,-0.08
13500,5,0.65638,0.38398,-0.56125,0.32668,61.33,-80.99,-0.80
13511,0,0.99997,-0.00625,-0.00538,0.00001,-0.72,-0.62,0.01
13511,1,0.75744,-0.00407,-0.65289,-0.00272,-1.02,-81.52,0.47
13511,2,0.77981,-0.02718,-0.62505,-0.02176,-4.00,-77.43,0.01
13511,3,0.77940,0.02556,-0.62569,0.01997,3.94,-77.51,-0.22
13511,4,0.79316,-0.00293,-0.60901,-0.00208,-0.47,-75.04,0.06
13511,5,0.65650,0.38382,-0.56114,0.32682,61.13,-80.99,-0.60
13523,0,0.99996,-0.00664,-0.00534,0.00002,-0.76,-0.61,0.01
13523,1,0.75753,-0.00426,-0.65278,-0.00256,-1.20,-81.50,0.65
13523,2,0.77960,-0.02722,-0.62531,-0.02173,-4.03,-77.47,0.04
13523,3,0.77922,0.02546,-0.62591,0.02006,3.87,-77.55,-0.16
13523,4,0.79303,-0.00285,-0.60917,-0.00212,-0.43,-75.06,0.03
13523,5,0.65638,0.38377,-0.56127,0.32689,61.15,-81.01,-0.61
13535,0,0.99997,-0.00638,-0.00526,0.00002,-0.73,-0.60,0.01
13535,1,0.75768,-0.00415,-0.65261,-0.00266,-1.09,-81.48,0.54
13535,2,0.77972,-0.02708,-0.62515,-0.02185,-3.93,-77.44,-0.06
13535,3,0.77937,0.02554,-0.62572,0.02000,3.92,-77.52,-0.21
13535,4,0.79292,-0.00263,-0.60931,-0.00230,-0.31,-75.08,-0.10
13535,5,0.65624,0.38360,-0.56144,0.32708,61.07,-81.05,-0.54
13546,0,0.99997,-0.00666,-0.00497,0.00002,-0.76,-0.57,0.01
13546,1,0.75775,-0.00441,-0.65253,-0.00243,-1.36,-81.47,0.80
13546,2,0.77984,-0.02688,-0.62502,-0.02202,-3.79,-77.42,-0.20
13546,3,0.77946,0.02576,-0.62560,0.01983,4.07,-77.50,-0.35
13546,4,0.79274,-0.00256,-0.60955,-0.00233,-0.27,-75.11,-0.13
13546,5,0.65612,0.38378,-0.56154,0.32693,61.28,-81.05,-0.74
13558,0,0.99997,-0.00631,-0.00492,0.00001,-0.72,-0.56,0.00
13558,1,0.75770,-0.00418,-0.65258,-0.00262,-1.12,-81.47,0.57
13558,2,0.78004,-0.02689,-0.62477,-0.02200,-3.80,-77.39,-0.19
13558,3,0.77965,0.02572,-0.62537,0.01984,4.04,-77.47,-0.33
13558,4,0.79290,-0.00242,-0.60935,-0.00244,-0.19,-75.09,-0.21
13558,5,0.65628,0.38367,-0.56138,0.32703,61.10,-81.04,-0.56
13569,0,0.99997,-0.00645,-0.00457,0.00002,-0.74,-0.52,0.01
13569,1,0.75756,-0.00411,-0.65275,-0.00268,-1.06,-81.50,0.51
13569,2,0.77995,-0.02675,-0.62488,-0.02212,-3.70,-77.40,-0.28
13569,3,0.77955,0.02586,-0.62550,0.01973,4.14,-77.48,-0.42
13569,4,0.79308,-0.00236,-0.60910,-0.00250,-0.16,-75.05,-0.24
13569,5,0.65646,0.38353,-0.56122,0.32711,60.91,-81.02,-0.37
13581,0,0.99997,-0.00679,-0.00436,0.00001,-0.78,-0.50,0.00
13581,1,0.75749,-0.00387,-0.65283,-0.00289,-0.81,-81.51,0.26
13581,2,0.77984,-0.02686,-0.62502,-0.02206,-3.77,-77.42,-0.22
13581,3,0.77944,0.02597,-0.62563,0.01962,4.22,-77.50,-0.51
13581,4,0.79329,-0.00241,-0.60883,-0.00248,-0.18,-75.01,-0.22
13581,5,0.65634,0.38362,-0.56133,0.32705,61.04,-81.03,-0.50
13592,0,0.99997,-0.00648,-0.00438,0.00001,-0.74,-0.50,0.00
13592,1,0.75734,-0.00393,-0.65300,-0.00285,-0.87,-81.54,0.32
13592,2,0.77969,-0.02685,-0.62521,-0.02206,-3.77,-77.45,-0.22
13592,3,0.77934,0.02609,-0.62575,0.01950,4.31,-77.52,-0.60
13592,4,0.79320,-0.00240,-0.60895,-0.00249,-0.17,-75.03,-0.23
13592,5,0.65647,0.38379,-0.56117,0.32687,61.12,-81.00,-0.58
13604,0,0.99997,-0.00632,-0.00431,0.00000,-0.72,-0.49,0.00
13604,1,0.75737,-0.00397,-0.65297,-0.00283,-0.90,-81.53,0.35
13604,2,0.77974,-0.02688,-0.62514,-0.02207,-3.78,-77.44,-0.21
13604,3,0.77946,0.02615,-0.62560,0.01942,4.36,-77.50,-0.65
13604,4,0.79335,-0.00245,-0.60875,-0.00251,-0.18,-75.00,-0.22
13604,5,0.65672,0.38364,-0.56092,0.32697,60.88,-80.97,-0.34
13616,0,0.99997,-0.00673,-0.00431,-0.00016,-0.77,-0.49,-0.02
13616,1,0.75810,-0.00439,-0.65212,-0.00319,-0.96,-81.40,0.34
13616,2,0.78039,-0.02729,-0.62429,-0.02268,-3.73,-77.32,-0.34
13616,3,0.78032,0.02537,-0.62458,0.01884,4.20,-77.34,-0.60
13616,4,0.79418,-0.00326,-0.60767,-0.00332,-0.25,-74.84,-0.29
13616,5,0.65798,0.38246,-0.56045,0.32663,59.99,-80.88,0.41
13627,0,0.99996,-0.00777,-0.00439,-0.00154,-0.89,-0.50,-0.17
13627,1,0.75877,-0.00559,-0.65132,-0.00401,-1.23,-81.28,0.45
13627,2,0.78104,-0.02860,-0.62338,-0.02362,-3.94,-77.19,-0.32
13627,3,0.78101,0.02403,-0.62379,0.01802,3.91,-77.22,-0.48
13627,4,0.79491,-0.00475,-0.60669,-0.00429,-0.51,-74.70,-0.23
13627,5,0.65913,0.38082,-0.56037,0.32635,58.99,-80.85,1.23
13638,0,0.99994,-0.00906,-0.00532,-0.00332,-1.04,-0.61,-0.37
13638,1,0.75948,-0.00744,-0.65047,-0.00491,-1.83,-81.16,0.83
13638,2,0.78138,-0.03041,-0.62282,-0.02471,-4.31,-77.12,-0.19
13638,3,0.78145,0.02225,-0.62334,0.01673,3.59,-77.15,-0.41
13638,4,0.79505,-0.00654,-0.60648,-0.00573,-0.75,-74.68,-0.25
13638,5,0.65999,0.37933,-0.56120,0.32493,58.81,-80.85,1.13
13650,0,0.99993,-0.00888,-0.00601,-0.00582,-1.01,-0.69,-0.66
13650,1,0.76023,-0.00985,-0.64955,-0.00633,-2.48,-81.02,1.17
13650,2,0.78214,-0.03270,-0.62169,-0.02630,-4.69,-76.96,-0.12
13650,3,0.78256,0.02000,-0.62207,0.01502,3.20,-76.96,-0.35
13650,4,0.79584,-0.00875,-0.60539,-0.00764,-1.01,-74.52,-0.33
13650,5,0.66174,0.37707,-0.56140,0.32365,57.84,-80.78,1.78
13662,0,0.99989,-0.00978,-0.00681,-0.00881,-1.11,-0.79,-1.00
13662,1,0.76083,-0.01232,-0.64878,-0.00813,-2.97,-80.90,1.31
13662,2,0.78261,-0.03503,-0.62089,-0.02826,-4.98,-76.86,-0.18
13662,3,0.78319,0.01756,-0.62139,0.01315,2.82,-76.86,-0.31
13662,4,0.79631,-0.01110,-0.60470,-0.00961,-1.29,-74.43,-0.40
13662,5,0.66332,0.37487,-0.56185,0.32220,57.07,-80.73,2.21
13673,0,0.99985,-0.01049,-0.00766,-0.01174,-1.19,-0.89,-1.34
13673,1,0.76092,-0.01480,-0.64861,-0.00961,-3.64,-80.88,1.65
13673,2,0.78258,-0.03737,-0.62071,-0.02984,-5.40,-76.84,-0.08
13673,3,0.78333,0.01518,-0.62131,0.01171,2.32,-76.84,-0.13
13673,4,0.79641,-0.01346,-0.60450,-0.01104,-1.72,-74.40,-0.28
13673,5,0.66428,0.37279,-0.56272,0.32110,56.46,-80.76,2.51
13685,0,0.99980,-0.01064,-0.00881,-0.01413,-1.21,-1.03,-1.61
13685,1,0.76101,-0.01748,-0.64842,-0.01012,-4.86,-80.85,2.62
13685,2,0.78264,-0.03974,-0.62046,-0.03038,-6.16,-76.81,0.44
13685,3,0.78355,0.01246,-0.62110,0.01140,1.35,-76.81,0.60
13685,4,0.79661,-0.01594,-0.60418,-0.01136,-2.48,-74.35,0.25
13685,5,0.66477,0.37038,-0.56381,0.32096,55.45,-80.88,3.29
13697,0,0.99976,-0.01095,-0.01068,-0.01563,-1.24,-1.24,-1.78
13697,1,0.76115,-0.02042,-0.64818,-0.00941,-6.78,-80.79,4.35
13697,2,0.78271,-0.04274,-0.62021,-0.02974,-7.53,-76.76,1.62
13697,3,0.78365,0.00936,-0.62100,0.01233,-0.16,-76.79,1.93
13697,4,0.79672,-0.01914,-0.60396,-0.01050,-3.78,-74.32,1.35
13697,5,0.66464,0.36757,-0.56534,0.32177,54.03,-81.13,4.50
13708,0,0.99970,-0.01122,-0.01383,-0.01665,-1.26,-1.61,-1.89
13708,1,0.76111,-0.02388,-0.64814,-0.00754,-9.51,-80.74,6.95
13708,2,0.78273,-0.04627,-0.62000,-0.02812,-9.40,-76.70,3.33
13708,3,0.78361,0.00565,-0.62106,0.01428,-2.23,-76.78,3.85
13708,4,0.79676,-0.02296,-0.60380,-0.00871,-5.52,-74.27,2.93
13708,5,0.66395,0.36397,-0.56751,0.32346,51.96,-81.52,6.39
13720,0,0.99961,-0.01144,-0.01863,-0.01747,-1.27,-2.16,-1.98
13720,1,0.76134,-0.02786,-0.64774,-0.00515,-12.65,-80.60,9.97
13720,2,0.78296,-0.05043,-0.61947,-0.02602,-11.61,-76.57,5.37
13720,3,0.78390,0.00129,-0.62067,0.01663,-4.64,-76.69,6.10
13720,4,0.79712,-0.02751,-0.60316,-0.00654,-7.56,-74.14,4.78
13720,5,0.66346,0.35959,-0.56967,0.32556,49.00,-81.91,9.12
13732,0,0.99947,-0.01200,-0.02389,-0.01852,-1.33,-2.76,-2.09
13732,1,0.76159,-0.03247,-0.64723,-0.00261,-16.06,-80.41,13.21
13732,2,0.78325,-0.05528,-0.61879,-0.02376,-14.08,-76.40,7.62
13732,3,0.78418,-0.00359,-0.62024,0.01899,-7.21,-76.56,8.47
13732,4,0.79748,-0.03252,-0.60245,-0.00445,-9.70,-73.98,6.68
13732,5,0.66309,0.35489,-0.57195,0.32746,45.67,-82.28,12.17
13744,0,0.99929,-0.01266,-0.02926,-0.01993,-1.39,-3.38,-2.24
13744,1,0.76189,-0.03743,-0.64663,-0.00022,-19.42,-80.17,16.36
13744,2,0.78352,-0.06047,-0.61804,-0.02166,-16.55,-76.19,9.84
13744,3,0.78449,-0.00873,-0.61972,0.02111,-9.76,-76.40,10.77
13744,4,0.79783,-0.03778,-0.60169,-0.00256,-11.83,-73.80,8.53
13744,5,0.66274,0.34996,-0.57437,0.32925,41.96,-82.64,15.58
13755,0,0.99907,-0.01372,-0.03470,-0.02161,-1.49,-4.01,-2.43
13755,1,0.76222,-0.04298,-0.64588,0.00228,-22.92,-79.87,19.60
13755,2,0.78367,-0.06621,-0.61733,-0.01956,-19.17,-75.97,12.16
13755,3,0.78459,-0.01448,-0.61941,0.02332,-12.53,-76.24,13.25
13755,4,0.79806,-0.04375,-0.60099,-0.00059,-14.17,-73.60,10.54
13755,5,0.66241,0.34429,-0.57707,0.33117,37.32,-83.00,19.85
13767,0,0.99878,-0.01448,-0.04098,-0.02362,-1.55,-4.74,-2.65
13767,1,0.76219,-0.04871,-0.64550,0.00479,-26.42,-79.58,22.84
13767,2,0.78350,-0.07211,-0.61694,-0.01739,-21.84,-75.76,14.53
13767,3,0.78427,-0.02044,-0.61954,0.02574,-15.44,-76.10,15.88
13767,4,0.79780,-0.04985,-0.60086,0.00163,-16.62,-73.45,12.67
13767,5,0.66154,0.33899,-0.58023,0.33284,32.74,-83.39,24.09
13779,0,0.99847,-0.01451,-0.04695,-0.02530,-1.53,-5.42,-2.83
13779,1,0.76187,-0.05429,-0.64541,0.00777,-29.95,-79.29,26.16
13779,2,0.78327,-0.07775,-0.61662,-0.01479,-24.48,-75.53,16.92
13779,3,0.78405,-0.02601,-0.61950,0.02859,-18.25,-75.92,18.46
13779,4,0.79766,-0.05542,-0.60054,0.00424,-18.93,-73.25,14.74
13779,5,0.66057,0.33417,-0.58293,0.33492,27.73,-83.71,28.84
13791,0,0.99817,-0.01481,-0.05247,-0.02627,-1.54,-6.06,-2.93
13791,1,0.76197,-0.05909,-0.64481,0.01103,-32.86,-78.92,28.94
13791,2,0.78344,-0.08259,-0.61584,-0.01181,-26.75,-75.22,19.04
13791,3,0.78425,-0.03074,-0.61887,0.03173,-20.65,-75.64,20.73
13791,4,0.79791,-0.06011,-0.59973,0.00716,-20.92,-72.98,16.58
13791,5,0.65961,0.32993,-0.58494,0.33749,22.42,-83.92,33.99
13802,0,0.99787,-0.01549,-0.05768,-0.02642,-1.61,-6.66,-2.94
13802,1,0.76208,-0.06355,-0.64418,0.01495,-35.63,-78.50,31.67
13802,2,0.78362,-0.08732,-0.61501,-0.00812,-29.07,-74.86,21.26
13802,3,0.78436,-0.03523,-0.61829,0.03547,-23.05,-75.34,23.07
13802,4,0.79816,-0.06462,-0.59887,0.01063,-22.90,-72.67,18.47
13802,5,0.65837,0.32560,-0.58698,0.34058,16.30,-84.09,39.99
13814,0,0.99749,-0.01634,-0.06365,-0.02620,-1.69,-7.34,-2.90
13814,1,0.76203,-0.06801,-0.64368,0.01916,-38.36,-78.07,34.38
13814,2,0.78374,-0.09209,-0.61421,-0.00416,-31.35,-74.48,23.48
13814,3,0.78442,-0.04004,-0.61766,0.03962,-25.55,-74.98,25.51
13814,4,0.79836,-0.06972,-0.59796,0.01457,-25.08,-72.31,20.55
13814,5,0.65691,0.32075,-0.58932,0.34394,9.14,-84.21,47.01
13826,0,0.99705,-0.01712,-0.07021,-0.02605,-1.76,-8.10,-2.87
13826,1,0.76208,-0.07302,-0.64292,0.02365,-41.07,-77.54,37.04
13826,2,0.78386,-0.09763,-0.61322,0.00009,-33.79,-74.02,25.80
13826,3,0.78450,-0.04553,-0.61689,0.04394,-28.16,-74.56,28.03
13826,4,0.79857,-0.07552,-0.59685,0.01861,-27.35,-71.89,22.68
13826,5,0.65532,0.31518,-0.59202,0.34745,0.96,-84.24,54.99
13837,0,0.99650,-0.01760,-0.07729,-0.02639,-1.80,-8.91,-2.89
13837,1,0.76219,-0.07874,-0.64194,0.02787,-43.64,-76.95,39.49
13837,2,0.78393,-0.10383,-0.61210,0.00395,-36.19,-73.51,28.01
13837,3,0.78463,-0.05163,-0.61597,0.04771,-30.66,-74.09,30.34
13837,4,0.79874,-0.08187,-0.59568,0.02197,-29.54,-71.44,24.62
13837,5,0.65421,0.30910,-0.59478,0.35029,-6.89,-84.14,62.56
13849,0,0.99589,-0.01816,-0.08432,-0.02775,-1.83,-9.73,-3.04
13849,1,0.76210,-0.08506,-0.64108,0.03120,-46.05,-76.37,41.65
13849,2,0.78383,-0.11032,-0.61106,0.00677,-38.37,-73.03,29.88
13849,3,0.78454,-0.05811,-0.61527,0.05056,-33.01,-73.65,32.39
13849,4,0.79875,-0.08850,-0.59462,0.02442,-31.58,-71.01,26.32
13849,5,0.65356,0.30287,-0.59750,0.35231,-13.77,-83.94,69.05
13861,0,0.99518,-0.01893,-0.09145,-0.03007,-1.88,-10.55,-3.29
13861,1,0.76200,-0.09138,-0.64021,0.03366,-48.11,-75.82,43.40
13861,2,0.78367,-0.11673,-0.61005,0.00873,-40.28,-72.58,31.42
13861,3,0.78450,-0.06446,-0.61452,0.05256,-35.03,-73.22,34.06
13861,4,0.79876,-0.09491,-0.59355,0.02606,-33.35,-70.61,27.69
13861,5,0.65321,0.29693,-0.60008,0.35364,-19.43,-83.70,74.30
13873,0,0.99452,-0.01969,-0.09735,-0.03260,-1.92,-11.24,-3.57
13873,1,0.76211,-0.09700,-0.63917,0.03529,-49.62,-75.33,44.58
13873,2,0.78372,-0.12237,-0.60886,0.00998,-41.74,-72.16,32.51
13873,3,0.78451,-0.07019,-0.61376,0.05400,-36.69,-72.83,35.37
13873,4,0.79878,-0.10071,-0.59251,0.02724,-34.84,-70.23,28.79
13873,5,0.65308,0.29150,-0.60227,0.35466,-23.95,-83.43,78.42
13884,0,0.99390,-0.02045,-0.10262,-0.03499,-1.96,-11.85,-3.83
13884,1,0.76202,-0.10279,-0.63824,0.03749,-51.24,-74.80,45.90
13884,2,0.78361,-0.12827,-0.60775,0.01189,-43.34,-71.70,33.77
13884,3,0.78440,-0.07622,-0.61299,0.05620,-38.51,-72.38,36.86
13884,4,0.79868,-0.10735,-0.59137,0.02943,-36.62,-69.77,30.21
13884,5,0.65244,0.28568,-0.60473,0.35638,-28.93,-83.08,83.04
13896,0,0.99316,-0.02113,-0.10874,-0.03680,-1.99,-12.57,-4.02
13896,1,0.76184,-0.10902,-0.63723,0.04073,-53.03,-74.16,47.44
13896,2,0.78342,-0.13521,-0.60643,0.01502,-45.27,-71.10,35.38
13896,3,0.78418,-0.08270,-0.61212,0.05939,-40.51,-71.84,38.59
13896,4,0.79853,-0.11400,-0.59018,0.03242,-38.46,-69.25,31.74
13896,5,0.65131,0.27937,-0.60742,0.35888,-34.22,-82.64,87.99
13908,0,0.99230,-0.02189,-0.11576,-0.03815,-2.04,-13.38,-4.16
13908,1,0.76140,-0.11559,-0.63631,0.04482,-54.95,-73.46,49.16
13908,2,0.78299,-0.14204,-0.60531,0.01874,-47.22,-70.49,37.07
13908,3,0.78365,-0.08959,-0.61143,0.06336,-42.68,-71.25,40.53
13908,4,0.79805,-0.12112,-0.58919,0.03616,-40.49,-68.69,33.48
13908,5,0.64962,0.27296,-0.61047,0.36167,-39.46,-82.14,92.92
13919,0,0.99127,-0.02254,-0.12383,-0.03923,-2.07,-14.32,-4.27
13919,1,0.76083,-0.12239,-0.63539,0.04940,-56.86,-72.70,50.87
13919,2,0.78252,-0.14902,-0.60410,0.02284,-49.13,-69.82,38.73
13919,3,0.78313,-0.09650,-0.61060,0.06754,-44.74,-70.62,42.36
13919,4,0.79769,-0.12810,-0.58795,0.03997,-42.35,-68.09,35.07
13919,5,0.64798,0.26671,-0.61331,0.36447,-43.88,-81.59,97.05
13931,0,0.99026,-0.02328,-0.13122,-0.04023,-2.11,-15.17,-4.37
13931,1,0.76051,-0.12859,-0.63421,0.05356,-58.34,-71.97,52.19
13931,2,0.78229,-0.15530,-0.60266,0.02653,-50.66,-69.17,40.04
13931,3,0.78283,-0.10271,-0.60955,0.07133,-46.42,-70.00,43.83
13931,4,0.79752,-0.13435,-0.58654,0.04341,-43.88,-67.50,36.36
13931,5,0.64673,0.26129,-0.61552,0.36689,-47.07,-81.07,99.99
13944,0,0.98932,-0.02444,-0.13769,-0.04103,-2.21,-15.93,-4.44
13944,1,0.76035,-0.13413,-0.63291,0.05745,-59.52,-71.27,53.22
13944,2,0.78231,-0.16083,-0.60102,0.03000,-51.87,-68.55,41.07
13944,3,0.78251,-0.10847,-0.60851,0.07500,-47.90,-69.40,45.14
13944,4,0.79726,-0.13976,-0.58538,0.04657,-45.19,-66.98,37.47
13944,5,0.64540,0.25588,-0.61757,0.36959,-49.90,-80.50,102.59
13956,0,0.98838,-0.02563,-0.14397,-0.04149,-2.32,-16.66,-4.47
13956,1,0.76004,-0.13949,-0.63173,0.06156,-60.66,-70.58,54.25
13956,2,0.78206,-0.16597,-0.59977,0.03349,-53.05,-67.97,42.10
13956,3,0.78222,-0.11369,-0.60746,0.07871,-49.19,-68.82,46.31
13956,4,0.79709,-0.14516,-0.58402,0.05009,-46.44,-66.42,38.56
13956,5,0.64385,0.25047,-0.61961,0.37257,-52.52,-79.90,105.02
13967,0,0.98737,-0.02638,-0.15054,-0.04179,-2.37,-17.43,-4.48
13967,1,0.75982,-0.14503,-0.63030,0.06605,-61.72,-69.83,55.22
13967,2,0.78189,-0.17183,-0.59809,0.03769,-54.29,-67.27,43.19
13967,3,0.78201,-0.11970,-0.60598,0.08314,-50.56,-68.10,47.54
13967,4,0.79701,-0.15143,-0.58214,0.05431,-47.79,-65.71,39.73
13967,5,0.64212,0.24403,-0.62179,0.37617,-55.12,-79.15,107.39
13979,0,0.98603,-0.02757,-0.15876,-0.04223,-2.47,-18.39,-4.50
13979,1,0.75986,-0.15144,-0.62818,0.07115,-62.70,-68.93,56.08
13979,2,0.78207,-0.17859,-0.59554,0.04244,-55.48,-66.40,44.19
13979,3,0.78212,-0.12654,-0.60376,0.08808,-51.86,-67.24,48.68
13979,4,0.79731,-0.15852,-0.57939,0.05898,-49.08,-64.85,40.81
13979,5,0.64066,0.23659,-0.62363,0.38034,-57.23,-78.25,109.26
13991,0,0.98451,-0.03004,-0.16740,-0.04262,-2.73,-19.40,-4.49
13991,1,0.76019,-0.15834,-0.62543,0.07670,-63.54,-67.91,56.80
13991,2,0.78243,-0.18579,-0.59247,0.04756,-56.59,-65.43,45.11
13991,3,0.78239,-0.13377,-0.60104,0.09336,-53.07,-66.28,49.72
13991,4,0.79769,-0.16593,-0.57625,0.06391,-50.31,-63.91,41.82
