,-0.60308,-0.00606,-1.03,-74.19,-0.09
13837,5,0.67382,0.35683,-0.57206,0.30231,56.06,-80.63,-0.30
13849,0,0.99986,-0.01404,-0.00935,0.00022,-1.61,-1.07,0.04
13849,1,0.76216,-0.01230,-0.64720,-0.00981,-2.14,-80.67,0.35
13849,2,0.78379,-0.03152,-0.61971,-0.02545,-4.44,-76.67,-0.21
13849,3,0.78465,0.01824,-0.61949,0.01464,2.59,-76.58,0.09
13849,4,0.79774,-0.00742,-0.60292,-0.00622,-0.91,-74.16,-0.20
13849,5,0.67400,0.35680,-0.57186,0.30230,55.96,-80.61,-0.20
13861,0,0.99985,-0.01441,-0.00944,0.00022,-1.65,-1.08,0.04
13861,1,0.76228,-0.01214,-0.64706,-0.00996,-1.98,-80.65,0.18
13861,2,0.78395,-0.03156,-0.61950,-0.02542,-4.46,-76.63,-0.19
13861,3,0.78458,0.01849,-0.61959,0.01445,2.75,-76.60,-0.06
13861,4,0.79757,-0.00737,-0.60315,-0.00624,-0.89,-74.20,-0.22
13861,5,0.67383,0.35678,-0.57206,0.30234,56.02,-80.64,-0.26
13872,0,0.99986,-0.01406,-0.00957,0.00022,-1.61,-1.10,0.04
13872,1,0.76239,-0.01237,-0.64693,-0.00975,-2.20,-80.63,0.40
13872,2,0.78401,-0.03129,-0.61943,-0.02565,-4.29,-76.63,-0.36
13872,3,0.78474,0.01857,-0.61938,0.01437,2.80,-76.57,-0.11
13872,4,0.79740,-0.00741,-0.60337,-0.00621,-0.91,-74.23,-0.20
13872,5,0.67365,0.35679,-0.57226,0.30233,56.12,-80.66,-0.36
13883,0,0.99985,-0.01443,-0.00943,0.00024,-1.65,-1.08,0.04
13883,1,0.76239,-0.01267,-0.64693,-0.00950,-2.47,-80.63,0.67
13883,2,0.78405,-0.03158,-0.61937,-0.02541,-4.47,-76.62,-0.18
13883,3,0.78464,0.01881,-0.61950,0.01418,2.95,-76.58,-0.26
13883,4,0.79753,-0.00761,-0.60320,-0.00605,-1.02,-74.20,-0.10
13883,5,0.67380,0.35665,-0.57212,0.30243,55.95,-80.65,-0.19
13895,0,0.99985,-0.01410,-0.00963,0.00025,-1.62,-1.10,0.04
13895,1,0.76221,-0.01262,-0.64714,-0.00956,-2.42,-80.66,0.62
13895,2,0.78392,-0.03175,-0.61954,-0.02527,-4.58,-76.64,-0.07
13895,3,0.78459,0.01912,-0.61956,0.01394,3.14,-76.59,-0.45
13895,4,0.79765,-0.00739,-0.60305,-0.00621,-0.90,-74.18,-0.21
13895,5,0.67398,0.35657,-0.57195,0.30246,55.81,-80.63,-0.06
13907,0,0.99985,-0.01448,-0.00961,0.00025,-1.66,-1.10,0.04
13907,1,0.76207,-0.01244,-0.64730,-0.00973,-2.26,-80.69,0.45
13907,2,0.78376,-0.03175,-0.61974,-0.02527,-4.59,-76.67,-0.06
13907,3,0.78477,0.01913,-0.61934,0.01392,3.15,-76.56,-0.45
13907,4,0.79768,-0.00768,-0.60301,-0.00600,-1.05,-74.18,-0.07
13907,5,0.67379,0.35650,-0.57218,0.30253,55.85,-80.67,-0.10
13918,0,0.99985,-0.01417,-0.00947,0.00025,-1.62,-1.08,0.04
13918,1,0.76201,-0.01218,-0.64737,-0.00997,-2.00,-80.70,0.20
13918,2,0.78362,-0.03195,-0.61990,-0.02512,-4.72,-76.69,0.06
13918,3,0.78463,0.01894,-0.61951,0.01406,3.04,-76.58,-0.35
13918,4,0.79753,-0.00784,-0.60320,-0.00588,-1.14,-74.20,0.02
13918,5,0.67398,0.35656,-0.57196,0.30246,55.81,-80.63,-0.06
