# Cheirograph Phase 2 - single MPU-6050 (direct I2C, no mux), bench capture
# Sketch: firmware/02_single_mpu6050_test/diagnostics/accel_raw/accel_raw.ino
# Library: MPU6050_light (rfetick). Units: g. Loop delay 10 ms (~100 Hz).
# The sensor was picked up and rotated freely by hand; at rest aZ sits near 1.0
# (gravity), which is the quick sanity check that calibration + axes are right.
ax,ay,az
-0.99,-0.15,2.07
-1.02,-0.16,2.11
-1.00,-0.20,2.10
-0.99,-0.19,2.10
-1.01,-0.22,2.05
-1.00,-0.26,2.11
-0.98,-0.27,2.16
-0.95,-0.25,2.19
-0.91,-0.26,2.22
-0.93,-0.22,2.27
-0.94,-0.23,2.30
-0.90,-0.24,2.33
-0.89,-0.29,2.27
-0.96,-0.18,2.32
-0.96,-0.24,2.27
-0.89,-0.33,2.16
-0.86,-0.42,2.15
-0.81,-0.49,2.19
-0.76,-0.45,2.16
-0.74,-0.38,2.14
-0.67,-0.34,2.16
-0.62,-0.35,2.08
-0.61,-0.31,2.03
-0.61,-0.32,1.97
-0.59,-0.36,1.98
-0.55,-0.41,1.91
-0.54,-0.44,1.82
-0.54,-0.45,1.76
-0.50,-0.47,1.74
-0.46,-0.50,1.72
-0.47,-0.53,1.67
-0.45,-0.57,1.64
-0.45,-0.56,1.61
-0.42,-0.56,1.58
-0.44,-0.62,1.49
-0.57,-0.64,1.31
-0.59,-0.59,1.40
-0.50,-0.72,1.44
-0.47,-0.90,1.53
-0.49,-0.96,1.60
-0.52,-0.96,1.67
-0.56,-0.93,1.69
-0.58,-0.95,1.65
-0.62,-1.03,1.56
-0.70,-1.05,1.53
-0.72,-1.04,1.51
-0.72,-1.00,1.48
-0.73,-0.97,1.51
-0.73,-0.95,1.47
-0.75,-0.90,1.42
-0.78,-0.89,1.36
-0.86,-0.87,1.25
-0.88,-0.91,1.22
-0.86,-0.96,1.27
-0.87,-0.98,1.31
-0.91,-1.02,1.32
-0.94,-1.02,1.36
-0.96,-1.04,1.38
-1.04,-1.08,1.31
-1.09,-1.06,1.30
-1.10,-1.04,1.26
-1.10,-1.06,1.26
-1.09,-1.05,1.26
-1.06,-1.04,1.32
-1.05,-1.07,1.35
-1.10,-1.06,1.31
-1.07,-1.15,1.34
-1.05,-1.19,1.35
-1.01,-1.20,1.33
-0.97,-1.22,1.36
-0.92,-1.22,1.45
-0.88,-1.17,1.51
-0.84,-1.17,1.56
-0.80,-1.17,1.59
-0.77,-1.20,1.56
-0.76,-1.15,1.55
-0.72,-1.12,1.57
-0.60,-1.08,1.62
-0.50,-1.01,1.65
-0.49,-1.03,1.65
-0.43,-0.98,1.68
-0.46,-0.94,1.68
-0.46,-0.95,1.58
-0.47,-0.89,1.49
-0.48,-0.83,1.39
-0.43,-0.76,1.33
-0.37,-0.70,1.31
-0.37,-0.60,1.24
-0.49,-0.55,1.07
-0.41,-0.44,1.10
-0.37,-0.37,1.11
-0.24,-0.26,1.19
-0.21,-0.17,1.19
-0.17,-0.13,1.22
-0.15,-0.09,1.22
-0.18,-0.00,1.25
-0.22,0.08,1.20
-0.22,0.17,1.16
-0.26,0.28,1.15
-0.28,0.39,1.19
-0.36,0.48,1.22
-0.39,0.58,1.27
-0.39,0.69,1.26
-0.43,0.73,1.25
-0.45,0.76,1.25
-0.51,0.79,1.21
-0.48,0.79,1.25
-0.48,0.82,1.30
-0.47,0.86,1.43
-0.52,0.91,1.44
-0.61,0.95,1.31
-0.62,0.97,1.31
-0.58,0.96,1.27
-0.63,0.96,1.25
-0.65,0.89,1.23
-0.64,0.84,1.21
-0.65,0.82,1.21
-0.66,0.78,1.29
-0.69,0.70,1.23
-0.69,0.68,1.27
-0.73,0.68,1.33
-0.78,0.68,1.34
-0.83,0.65,1.35
-0.89,0.65,1.30
-0.96,0.58,1.27
-1.06,0.56,1.36
-1.18,0.64,1.40
-1.27,0.75,1.33
-1.31,0.89,1.34
-1.37,0.95,1.36
-1.43,0.86,1.38
-1.47,0.77,1.49
-1.50,0.75,1.70
-1.51,0.71,1.81
-1.50,0.66,1.71
-1.57,0.67,1.63
-1.59,0.70,1.66
-1.60,0.72,1.70
-1.64,0.71,1.68
-1.65,0.68,1.63
-1.71,0.68,1.56
-1.66,0.59,1.51
-1.63,0.51,1.36
-1.59,0.53,1.19
-1.48,0.54,1.39
-1.60,0.50,1.47
-1.53,0.55,1.59
-1.56,0.60,1.63
-1.65,0.59,1.63
-1.65,0.54,1.56
-1.58,0.51,1.50
-1.60,0.49,1.55
-1.98,0.35,1.30
-1.65,0.64,1.68
-1.66,0.52,1.69
-1.63,0.50,1.63
-1.57,0.49,1.56
-1.57,0.51,1.53
-1.60,0.53,1.55
-1.63,0.50,1.65
-1.59,0.51,1.70
-1.61,0.57,1.76
-1.60,0.60,1.77
-1.61,0.59,1.62
-1.59,0.55,1.49
-1.56,0.44,1.48
-1.54,0.43,1.50
-1.49,0.52,1.63
-1.45,0.58,1.72
-1.60,0.47,1.62
-1.49,0.60,1.65
-1.51,0.51,1.60
-1.47,0.41,1.60
-1.41,0.44,1.66
-1.37,0.48,1.75
-1.38,0.50,1.82
-1.36,0.47,1.83
-1.41,0.40,1.77
-1.36,0.44,1.88
-1.34,0.43,1.84
-1.32,0.38,1.80
-1.32,0.33,1.86
-1.40,0.39,1.82
-1.37,0.38,1.89
-1.29,0.25,1.92
-1.30,0.24,1.94
-1.16,0.14,1.82
-1.17,0.21,1.69
-1.28,0.20,1.76
-1.44,0.22,1.82
-1.51,0.22,1.87
-1.55,0.25,1.94
-1.62,0.28,1.94
-1.70,0.04,1.94
-1.68,0.03,2.13
-1.67,0.19,2.01
-1.47,0.13,1.96
-1.44,0.03,1.86
-1.46,-0.05,1.88
-1.51,-0.16,1.89
-1.56,-0.21,1.87
-1.59,-0.25,1.85
-1.58,-0.18,1.88
-1.48,-0.25,1.92
-1.44,-0.31,1.93
-1.34,-0.33,1.89
-1.36,-0.41,1.92
-1.37,-0.53,1.89
-1.40,-0.45,1.79
-1.38,-0.49,1.89
-1.43,-0.46,2.03
-1.46,-0.34,2.11
-1.50,-0.32,2.18
-1.53,-0.40,2.21
-1.56,-0.45,2.16
-1.55,-0.52,2.14
-1.57,-0.49,2.05
-1.55,-0.52,1.97
-1.53,-0.59,1.90
-1.51,-0.66,1.86
-1.47,-0.68,1.86
-1.44,-0.71,1.85
-1.43,-0.72,1.82
-1.44,-0.72,1.83
-1.45,-0.71,1.84
-1.45,-0.69,1.84
-1.40,-0.68,1.84
-1.34,-0.69,1.87
-1.35,-0.64,1.76
-1.29,-0.72,1.76
-1.22,-0.82,1.79
-1.21,-0.79,1.75
-1.13,-0.74,1.72
-0.95,-0.77,1.93
-0.92,-0.76,1.95
-0.92,-0.67,1.89
-0.98,-0.70,1.80
-1.00,-0.81,1.67
-0.94,-0.88,1.60
-0.84,-0.90,1.65
-0.77,-0.93,1.69
-0.73,-0.83,1.65
-0.72,-0.85,1.61
-0.70,-0.77,1.55
-0.68,-0.73,1.51
-0.67,-0.76,1.47
-0.63,-0.79,1.43
-0.57,-0.81,1.40
-0.51,-0.83,1.43
-0.48,-0.79,1.46
-0.49,-0.73,1.42
-0.48,-0.73,1.42
-0.47,-0.71,1.45
-0.45,-0.67,1.39
-0.55,-0.65,1.41
-0.51,-0.61,1.37
0.54,-0.80,1.60
0.16,-0.87,1.15
0.60,-1.32,0.18
-0.30,-0.70,1.15
-0.50,-0.66,1.39
-0.46,-0.61,1.13
-0.03,-0.66,1.11
-0.18,-0.53,0.98
-0.22,-0.56,0.92
-0.27,-0.51,0.66
-0.33,-0.57,0.78
-0.18,-0.54,0.81
-0.10,-0.41,0.75
-0.08,-0.40,0.76
-0.01,-0.34,0.78
-0.02,-0.31,0.85
-0.05,-0.28,0.79
-0.12,-0.18,0.66
-0.18,-0.12,0.53
-0.21,-0.07,0.54
-0.18,-0.08,0.47
-0.18,-0.03,0.43
-0.18,0.03,0.50
-0.10,0.00,0.54
-0.09,-0.03,0.62
-0.00,-0.05,0.71
-0.02,-0.08,0.68
-0.11,-0.09,0.52
-0.23,-0.05,0.42
-0.22,-0.10,0.45
-0.17,-0.08,0.53
-0.27,-0.03,0.45
-0.30,0.02,0.44
-0.42,0.08,0.31
-0.44,0.13,0.28
-0.55,0.17,0.21
-0.56,0.19,0.23
-0.54,0.18,0.25
-0.52,0.22,0.30
-0.47,0.24,0.35
-0.49,0.25,0.32
-0.60,0.25,0.22
-0.76,0.31,0.15
-0.70,0.50,0.19
-0.78,0.57,0.07
-0.69,0.55,0.11
-0.66,0.56,0.14
-0.60,0.57,0.15
-0.52,0.55,0.20
-0.55,0.56,0.21
-0.70,0.56,0.19
-0.78,0.57,0.18
-0.82,0.53,0.15
-0.89,0.54,0.17
-0.88,0.52,0.20
-0.88,0.52,0.23
-0.74,0.62,0.45
-0.32,0.43,0.60
-0.16,0.36,0.60
-0.12,0.40,0.67
-0.14,0.47,0.77
-0.18,0.44,0.83
-0.24,0.44,0.86
-0.23,0.42,0.84
0.04,0.34,0.97
-0.11,0.32,0.86
-0.09,0.30,0.94
-0.07,0.19,0.98
-0.07,0.06,0.96
0.01,0.09,1.08
0.10,0.11,1.20
0.03,0.12,1.24
-0.15,-0.04,1.06
-0.23,-0.26,0.76
-0.20,-0.37,0.69
-0.18,-0.31,0.70
-0.13,-0.32,0.74
-0.14,-0.41,0.76
-0.10,-0.49,0.78
-0.01,-0.66,0.83
-0.11,-0.64,0.80
-0.19,-0.59,0.74
-0.21,-0.71,0.70
-0.17,-0.73,0.84
-0.12,-0.70,0.94
-0.05,-0.76,0.99
-0.03,-0.89,1.11
-0.17,-1.01,1.04
-0.07,-0.95,1.06
0.07,-0.92,0.99
-0.10,-0.94,0.95
-0.23,-0.96,0.92
-0.27,-0.92,0.69
-0.32,-0.84,0.61
-0.40,-0.75,0.60
-0.43,-0.68,0.47
-0.33,-0.55,0.51
-0.27,-0.57,0.52
-0.31,-0.63,0.47
-0.35,-0.79,0.59
-0.53,-0.71,0.64
-0.70,-0.61,0.49
-0.86,-0.54,0.42
-0.92,-0.53,0.34
-0.95,-0.49,0.29
-0.95,-0.36,0.23
-0.94,-0.26,0.17
-0.78,-0.21,0.24
-0.74,-0.16,0.11
-0.79,-0.16,0.30
-0.93,-0.16,0.24
-1.05,-0.18,0.16
-1.20,-0.10,0.12
-1.28,-0.09,0.13
-1.41,-0.07,0.12
-1.52,0.06,0.11
-1.64,0.11,0.11
-1.63,0.12,0.09
-1.69,0.22,0.02
-1.84,0.29,-0.08
-2.16,0.30,-0.22
-2.37,0.25,-0.24
-2.29,0.30,-0.07
-1.90,0.13,0.13
-1.32,-0.02,0.42
-0.90,-0.08,0.62
-0.75,0.15,0.68
-0.65,0.22,0.84
-0.50,0.31,1.11
-0.39,0.40,1.12
-0.17,0.36,0.97
-0.02,0.27,0.54
-0.00,0.17,0.63
-0.07,0.16,0.91
-0.02,0.19,1.14
0.10,0.16,1.28
0.22,0.17,1.44
0.21,0.11,1.45
0.10,0.07,1.42
-0.01,0.05,1.41
-0.02,0.09,1.44
-0.04,0.19,1.50
-0.03,0.30,1.57
-0.07,0.20,1.54
-0.15,0.12,1.54
-0.25,0.12,1.55
-0.32,0.16,1.53
-0.32,0.20,1.50
-0.32,0.26,1.49
-0.33,0.27,1.52
-0.30,0.32,1.58
-0.25,0.35,1.69
-0.30,0.34,1.81
-0.44,0.28,1.85
-0.46,0.25,1.88
-0.55,0.27,1.77
-0.58,0.34,1.73
-0.58,0.42,1.89
-0.79,0.47,1.64
-0.61,0.48,1.78
-0.59,0.47,1.97
-0.56,0.40,2.06
-0.55,0.35,2.15
-0.61,0.29,2.08
-0.67,0.26,1.95
-0.69,0.30,1.93
-0.67,0.33,1.91
-0.67,0.35,1.89
-0.71,0.30,1.87
-0.68,0.29,1.93
-0.63,0.34,2.15
-0.73,0.32,2.07
-0.82,0.32,1.97
-0.84,0.37,1.92
-0.82,0.43,1.86
-0.84,0.51,1.77
-0.85,0.60,1.72
-0.84,0.66,1.75
-0.85,0.70,1.77
-0.88,0.69,1.74
-0.88,0.71,1.75
-0.88,0.73,1.74
-0.88,0.77,1.67
-0.88,0.83,1.62
-0.90,0.90,1.60
-0.88,0.93,1.61
-0.86,0.94,1.65
-0.83,0.95,1.70
-0.79,0.90,1.73
-0.75,0.83,1.73
-0.72,0.78,1.70
-0.86,0.64,1.52
-0.62,0.63,1.65
-0.45,0.59,1.63
-0.30,0.52,1.69
-0.45,0.48,1.54
-0.51,0.40,1.48
-0.43,0.28,1.45
-0.32,0.19,1.49
-0.23,0.14,1.53
-0.24,0.17,1.48
-0.21,0.18,1.41
-0.15,0.15,1.34
-0.10,0.12,1.31
-0.05,0.08,1.29
-0.01,-0.01,1.30
0.05,-0.08,1.29
0.04,-0.10,1.20
0.02,-0.16,1.10
-0.10,-0.19,1.04
-0.14,-0.29,1.04
-0.16,-0.35,1.05
-0.11,-0.40,1.18
-0.04,-0.41,1.23
-0.01,-0.45,1.21
-0.04,-0.45,1.16
-0.12,-0.50,1.11
-0.17,-0.59,1.14
-0.17,-0.63,1.26
-0.23,-0.75,1.18
-0.23,-0.80,1.12
-0.30,-0.81,1.11
-0.38,-0.81,1.07
-0.37,-0.79,1.04
-0.25,-0.73,1.11
-0.20,-0.71,1.12
-0.14,-0.75,1.17
-0.15,-0.77,1.21
-0.19,-0.80,1.27
-0.23,-0.83,1.33
-0.26,-0.84,1.30
-0.22,-0.81,1.28
-0.21,-0.78,1.32
-0.20,-0.79,1.32
-0.22,-0.77,1.28
-0.23,-0.77,1.24
-0.17,-0.76,1.26
-0.15,-0.73,1.27
-0.17,-0.73,1.28
-0.19,-0.75,1.27
-0.19,-0.72,1.26
-0.18,-0.68,1.21
-0.20,-0.66,1.14
-0.21,-0.61,1.14
-0.23,-0.56,1.17
-0.27,-0.52,1.17
-0.31,-0.49,1.18
-0.31,-0.47,1.29
-0.24,-0.40,1.45
-0.14,-0.33,1.49
-0.11,-0.27,1.50
-0.15,-0.20,1.46
-0.22,-0.20,1.38
-0.35,-0.23,1.39
-0.41,-0.26,1.40
-0.46,-0.24,1.46
-0.53,-0.24,1.50
-0.64,-0.25,1.47
-0.69,-0.31,1.46
-0.73,-0.33,1.55
-0.65,-0.36,1.62
-0.84,-0.36,1.76
-1.00,-0.32,2.00
-1.01,-0.32,2.22
-0.99,-0.39,2.44
-1.09,-0.39,2.33
-1.18,-0.30,2.18
-1.17,-0.38,2.26
-1.17,-0.41,2.39
-1.18,-0.41,2.35
-1.11,-0.44,2.36
-1.08,-0.47,2.32
-1.07,-0.47,2.21
-1.13,-0.49,2.23
-1.19,-0.51,2.22
-1.16,-0.49,2.25
-1.19,-0.48,2.25
-1.17,-0.46,2.24
-1.14,-0.45,2.20
-1.14,-0.44,2.19
-1.11,-0.44,2.20
-1.08,-0.44,2.23
-1.03,-0.44,2.31
-1.00,-0.45,2.39
-0.96,-0.46,2.44
-0.99,-0.47,2.39
-0.97,-0.49,2.30
-0.92,-0.51,2.28
-0.88,-0.54,2.34
-0.83,-0.54,2.32
-0.81,-0.56,2.28
-0.87,-0.51,2.29
-0.78,-0.48,2.27
-0.66,-0.47,2.18
-0.68,-0.46,2.11
-0.62,-0.53,1.95
-0.71,-0.54,1.86
-0.71,-0.49,1.77
-0.64,-0.37,1.70
-0.55,-0.29,1.57
-0.54,-0.22,1.34
-0.56,-0.12,1.15
-0.57,-0.13,0.97
-0.43,-0.03,1.06
-0.42,-0.07,0.91
-0.46,-0.02,0.76
-0.41,0.18,0.67
-0.21,0.25,0.76
-0.20,0.34,0.58
-0.19,0.34,0.55
-0.16,0.33,0.51
-0.13,0.26,0.60
-0.06,0.22,0.75
-0.02,0.16,0.83
-0.01,0.13,0.86
0.02,0.14,0.87
0.06,0.15,0.90
0.06,0.13,0.89
0.04,0.14,0.89
0.03,0.15,0.85
0.03,0.17,0.85
-0.00,0.18,0.83
-0.01,0.16,0.81
0.01,0.08,0.66
-0.04,0.12,0.86
-0.04,0.11,0.89
-0.06,0.09,0.96
-0.05,0.10,0.96
-0.04,0.12,0.99
-0.03,0.11,1.02
-0.05,0.17,1.02
0.02,0.26,0.99
0.06,0.32,0.96
0.09,0.28,1.00
0.13,0.24,1.08
0.15,0.22,1.14
0.09,0.17,1.12
0.04,0.15,1.09
0.01,0.13,1.06
0.01,0.12,1.06
-0.02,0.13,1.05
-0.04,0.17,1.00
-0.04,0.17,1.00
-0.11,0.19,1.09
-0.02,0.30,1.02
-0.11,0.30,1.01
-0.19,0.28,1.05
-0.17,0.31,1.06
-0.16,0.38,1.05
-0.20,0.39,1.02
-0.24,0.38,1.03
-0.32,0.40,0.93
-0.25,0.49,1.06
-0.41,0.37,0.94
-0.42,0.39,0.97
-0.48,0.45,1.06
-0.54,0.61,1.20
-0.49,0.63,1.28
-0.48,0.66,1.34
-0.53,0.71,1.37
-0.64,0.88,1.34
-0.71,1.03,1.37
-0.67,0.98,1.35
-0.72,0.92,1.33
-0.80,0.92,1.31
-0.83,0.90,1.29
-0.82,0.88,1.30
